title_csv,artist_csv,spotify_song_id,title_db,artist_db,summary,similarity_score,section_snapshot
Here Again,Elevation Worship,,Here Again,Elevation Worship,worship_songs.csv differs in intro (similarity 0.00) for this likely matching song.,0.00,db_intro=5 6m 4 | csv_intro=2 3m 1
Here Again,Elevation Worship,,Here Again,Elevation Worship,worship_songs.csv differs in chorus (similarity 0.08) for this likely matching song.,0.08,db_chorus=1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 | csv_chorus=b7 4 5m b3 b7 4 5m b3
Here Again,Elevation Worship,,Here Again,Elevation Worship,worship_songs.csv differs in bridge (similarity 0.06) for this likely matching song.,0.06,db_bridge=1 5 6m 5 4 1 5 6m 5 4 1 5 6m 5 4 1 1 5 6m 5 4 1 5 6m 5 4 1 5 6m 5 4 1 5 6m 5 4 1 5 6m 5 4 1 1 5 6m 5 4 | csv_bridge=2 6 7m 6 5 2 6 7m 6 5 2 6 7m 6 5 2
Here As In Heaven,Elevation Worship,,Here As In Heaven,Elevation Worship,worship_songs.csv differs in bridge (similarity 0.25) for this likely matching song.,0.25,db_bridge=1 3m 2 1 3m 2 | csv_bridge=1 2 3m 2 1 2 3m 2 1 2 3m 2 1 2 3m 2 1 2 3m 2 1 2 3m 2
HOLD ONTO ME,Elevation Worship,,Hold On To Me,Elevation Worship,worship_songs.csv differs in intro (similarity 0.00) for this likely matching song.,0.00,db_intro=1 | csv_intro=4
Jesus I Come,Elevation Worship,,Jesus I Come,Elevation Worship,worship_songs.csv differs in chorus (similarity 0.12) for this likely matching song.,0.12,db_chorus=1 3m 5 2 1 3m 5 2 1 | csv_chorus=4 6m 1 5 4 6m 1 5 4 6m 1 5 4 6m 1 5 4 6m 1 5 4 6m 1 5 4 4 6m 1 5 4 6m 1 5 4 6m 1 5 4 6m 1 5
NEVER LOST,Elevation Worship,,NEVER LOST,Elevation Worship,worship_songs.csv differs in bridge (similarity 0.00) for this likely matching song.,0.00,db_bridge=2m 1 4 2m 1 4 2m 1 4 2m 1 4 | csv_bridge=4m b3 b6 4m b3 b6 4m b3 b6 4m b3 b6
O Come to the Altar,Elevation Worship,,O Come to the Altar,Elevation Worship,worship_songs.csv differs in intro (similarity 0.00) for this likely matching song.,0.00,db_intro=1 4 1 4 | csv_intro=7 3 7 3
O Come to the Altar,Elevation Worship,,O Come to the Altar,Elevation Worship,worship_songs.csv differs in chorus (similarity 0.50) for this likely matching song.,0.50,db_chorus=1 2m 6m 4 1 6m 6m 4 1 | csv_chorus=1 2m 6m 4 1 6m 6m 4 1 1 2m 6m 4 1 6m 6m 4 1
Overcome,Elevation Worship,,Overcome,Elevation Worship,worship_songs.csv differs in bridge (similarity 0.25) for this likely matching song.,0.25,db_bridge=1 4 6m 4 1 4 6m 4 | csv_bridge=5 1 3m 1 5 1 3m 1
Resurrecting,Elevation Worship,,Resurrecting,Elevation Worship,worship_songs.csv differs in bridge (similarity 0.53) for this likely matching song.,0.53,db_bridge=1 5 2 5 1 b6 2 1 5 2 5 1 b6 2 1 | csv_bridge=4 1 5 1 4 b2 5 4 1 5 1 4 b2 5 4
Resurrecting,Elevation Worship,,Resurrecting,Elevation Worship,worship_songs.csv differs in chorus (similarity 0.00) for this likely matching song.,0.00,db_chorus=1 5 2 1 5 2 1 5 2 1 5 2 | csv_chorus=#4 b2 b6 #4 b2 b6 #4 b2 b6 #4 b2 b6 #4 b2 b6 #4 b2 b6 #4 b2 b6 #4 b2 b6 #4 b2 b6 #4 b2 b6 #4 b2 b6 #4 b2 b6
See a Victory,Elevation Worship,,See a Victory,Elevation Worship,worship_songs.csv differs in chorus (similarity 0.50) for this likely matching song.,0.50,db_chorus=6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 | csv_chorus=6m 4 1 5 6m 4 1 5
Ven Ante Su Trono (O Come to the Altar),Elevation Worship,,Ven Ante Su Trono (O Come to the Altar),Elevation Worship,worship_songs.csv differs in bridge (similarity 0.25) for this likely matching song.,0.25,db_bridge=1 6m 4 1 1 6m 4 1 | csv_bridge=5 3m 1 5 5 3m 1 5
We Unite,Elevation Worship,,We Unite,Elevation Worship,worship_songs.csv differs in intro (similarity 0.00) for this likely matching song.,0.00,db_intro=1 1 1 4 6m 6m 6m 4 | csv_intro=3m 2
We Unite,Elevation Worship,,We Unite,Elevation Worship,worship_songs.csv differs in intro (similarity 0.19) for this likely matching song.,0.19,db_intro=1 1 1 4 6m 6m 6m 4 | csv_intro=5 5 5 1 3m 3m 3m 1 5 5 5 1 3m 3m 3m 2
Wont Stop Now,Elevation Worship,,Wont Stop Now,Elevation Worship,worship_songs.csv differs in bridge (similarity 0.12) for this likely matching song.,0.12,db_bridge=4 6m 5 1 4 6m 5 1 4 6m 5 1 4 6m 5 1 4 6m 5 1 4 6m 5 1 4 6m 5 1 4 6m 5 1 4 6m 5 1 4 6m 5 1 4 6m 5 1 4 6m 5 1 4 6m 5 1 4 6m 5 1 4 6m 5 1 4 6m 5 1 | csv_bridge=4 6m 5 1 4 6m 5 1
Yahweh,Elevation Worship,,Yahweh,Elevation Worship,worship_songs.csv differs in chorus (similarity 0.33) for this likely matching song.,0.33,db_chorus=3m 2 5 3m 1 3m 2 5 3m 1 3m 2 5 3m 1 3m 2 5 3m 1 | csv_chorus=4 5 6m 5 1 4 4 5 6m 5 1 4 4 5 6m 5 1 4 4 5 6m 5 1 4
Your Promises,Elevation Worship,,Your Promises,Elevation Worship,worship_songs.csv differs in chorus (similarity 0.35) for this likely matching song.,0.35,db_chorus=1 4 6m 4 1 4 6m 4 1 | csv_chorus=1 4 6m 4 1 4 6m 4 1 4 1 4 1 4 6m 4 1 4 6m 4 4 1 b6 4 1 b6
Awesome In This Place,Dave Billington,,Awesome In This Place,Dave Billington,worship_songs.csv differs in chorus (similarity 0.53) for this likely matching song.,0.53,db_chorus=1 2m 5 1 5 1 3m 4 2m 5 1 5 1 6m 2m 5 1 | csv_chorus=5 6m 1 2 5 2 5 5 1 5 6m 1 2 5
Angels We Have Heard On High,Future of Forestry,7uFroPcScFCxHlisoNCZUV,Angels We Have Heard On High,Future Of Forestry,worship_songs.csv differs in intro (similarity 0.50) for this likely matching song.,0.50,db_intro=1 6m 5 | csv_intro=1 6m 5 1 6m 5
Defender,Francesca Battistelli,,Defender,Francesca Battistelli,worship_songs.csv differs in chorus (similarity 0.38) for this likely matching song.,0.38,db_chorus=1 4 1 4 1 4 1 4 5 6m 4 5 6m 4 5 6m 4 5 6m 4 | csv_chorus=1 4 1 4 1 4 1 4 5 6m 4 5 6m 4 5 6m 4 5 6m 4 1 4 1 4 1 4 1 4 5 6m 4 5 6m 4 5 6m 4 5 6m 4 5 6m 4 5 6m 4 5 6m 4 5 6m 4
Forever Love,Francesca Battistelli,4Lus7QcpvnITlBLiVguGDc,Forever Love,Francesca Battistelli,worship_songs.csv differs in chorus (similarity 0.41) for this likely matching song.,0.41,db_chorus=1 4 5 1 4 5 1 4 5 6m 4 5 1 | csv_chorus=4 5 1 4 5 1 4 5 6m 4 5 1 4 5 1 4 5 1 4 5 6m 4 5 1 5 1 5 1 5 6m b7 5
Heaven Everywhere,Francesca Battistelli,3uvS5Ey8mXwRoTlxzyOmLM,Heaven Everywhere,Francesca Battistelli,worship_songs.csv differs in intro (similarity 0.33) for this likely matching song.,0.33,db_intro=1 | csv_intro=1 1 1
Holy Spirit,Francesca Battistelli,0VqMBJyeeRA4I6mSPO5uqZ,Holy Spirit,Francesca Battistelli,worship_songs.csv differs in chorus (similarity 0.18) for this likely matching song.,0.18,db_chorus=5 2 4 1 5 2 4 1 5 2 4 1 | csv_chorus=1 4 2m 1 4 2m 1 4 2m 1 4 2m 1 4 2m 1 4 2m 4 1 2m 1 4 1 2m 1 1 4 2m 1 4 2m 1
Holy Spirit,Francesca Battistelli,0VqMBJyeeRA4I6mSPO5uqZ,Holy Spirit,Francesca Battistelli,worship_songs.csv differs in bridge (similarity 0.43) for this likely matching song.,0.43,db_bridge=5 2 4 1 5 2 4 1 5 2 4 1 5 2 4 1 5 2 4 1 5 2 4 1 5 2 4 1 | csv_bridge=4 1 2m 1 4 1 2m 1 4 1 2m 1 4 1 2m 1 4
I'm Letting Go,Francesca Battistelli,43DngyQfyRtB7RcsUUtUuB,I'm Letting Go,Francesca Battistelli,worship_songs.csv differs in bridge (similarity 0.25) for this likely matching song.,0.25,db_bridge=5 4 6m 5 | csv_bridge=2m b7 1 5
If We're Honest,Francesca Battistelli,7pPLZZRphZu2hxju6oErbS,If We're Honest,Francesca Battistelli,worship_songs.csv differs in chorus (similarity 0.18) for this likely matching song.,0.18,db_chorus=1 5 1 5 1 3m 6m 5 1 5 1 | csv_chorus=4 1 4 1 4 6m 2m 1 4 1 4 4 1 4 1 4 6m 2m 1 4 1 4 4 1 4 1 4 6m 2m 1 4 1 4
If Were Honest,Francesca Battistelli,7pPLZZRphZu2hxju6oErbS,If We're Honest,Francesca Battistelli,worship_songs.csv differs in chorus (similarity 0.18) for this likely matching song.,0.18,db_chorus=1 5 1 5 1 3m 6m 5 1 5 1 | csv_chorus=4 1 4 1 4 6m 2m 1 4 1 4 4 1 4 1 4 6m 2m 1 4 1 4 4 1 4 1 4 6m 2m 1 4 1 4
Im Letting Go,Francesca Battistelli,43DngyQfyRtB7RcsUUtUuB,I'm Letting Go,Francesca Battistelli,worship_songs.csv differs in bridge (similarity 0.25) for this likely matching song.,0.25,db_bridge=5 4 6m 5 | csv_bridge=2m 7 1 5
Its Your Life,Francesca Battistelli,,It's Your Life,Francesca Battistelli,worship_songs.csv differs in chorus (similarity 0.19) for this likely matching song.,0.19,db_chorus=6m 1 6 2 6m 1 6 2 1 6m 1 7 6m 1 7 6m | csv_chorus=6m 1 5 2 6m 1 5 2 1 6m 2 6m 1 5 2 6m 1 5 2 6m 1 5 2 6m 1 5 2 1 6m 2 6m 1 5 2 6m 1 5 2 1 6m 2 6m 1 5 2 6m 6m 1 5 2 6m 6m 2 6m 1 5 2 6m 1 5 2 1
Someday Soon,Francesca Battistelli,5e7ekiDb69vBER6LHQaMp2,Someday Soon,Francesca Battistelli,worship_songs.csv differs in chorus (similarity 0.39) for this likely matching song.,0.39,db_chorus=1 6m 5 2m 1 6m 5 4 1 | csv_chorus=1 6m 5 2m 1 6m 5 4 1 1 4 1 4 1 4 1 4 6m 5 2m 4m 1 4
Its Not Over Yet,For King & Country,,It's Not Over Yet,For King and Country,worship_songs.csv differs in bridge (similarity 0.33) for this likely matching song.,0.33,db_bridge=1 4 6m 5 | csv_bridge=1 1 4 6m 5 1 1 4 6m 5 4 4
Amen,For King & Country,5aHZnvy8EqhViyoJo971Wy,Amen,for KING & COUNTRY,worship_songs.csv differs in chorus (similarity 0.09) for this likely matching song.,0.09,db_chorus=2m 5 6m | csv_chorus=6m 5 6m 2m 5 6m 6m 6m 2m 5 6m 2m 5 6m 2m 5 6m 6m 6m 2m 5 6m 2m 5 6m 6m 6m 2m 5 6m 2m 5 6m
Fine Fine Life,For King & Country,4GDhUzDe2IeojZTsLc3ase,Fine Fine Life,for KING & COUNTRY,worship_songs.csv differs in intro (similarity 0.00) for this likely matching song.,0.00,db_intro=4 5 | csv_intro=1 1 2
God Only Knows,For King & Country,4ElNxglBjcrASiGn58t9Jm,God Only Knows,for KING & COUNTRY,worship_songs.csv differs in intro (similarity 0.01) for this likely matching song.,0.01,db_intro=6m/1 3m/7 1 5 6m/1 3m/7 1 5 6m 3m 6m 3m 6m 3m 6m 3m 4 5 6m 4 3m 6m 2m 3m 6m 2m 3m 2m 3m 6m 3m 6m 3m 6m 3m 6m 3m 6m 3m 6m 3m 6m 3m 6m 3m 6m 3m 6m 6/b2 7/b3 1/3 2/#4 6/b2 7/b3 1/3 2/#4 6/b2 7/b3 1/3 2/#4 6/b2 7/b3 1/3 2/#4 6/b2 7/b3 1/3 2/#4 6/b2 7/b3 1/3 2/#4 6/b2 7/b3 1/3 2/#4 6/b2 7/b3 1/3 2/#4 3/b6 3 6m/3 b3/3 6/3 3 6m/3 b3/3 6/3 3 6m/3 b3/3 6/3 3 6m/3 b3/3 6/3 3 6m/3 b3/3 6/3 3 6m/3 b3/3 3/7 b7/7 3 3/7 2 6/b2 7m #4m/b2 3 6 1 5/7 b7 6 2 3 #4m #4m/3 7/b3 7m/2 6/b2 6m/1 2m 6/b2 #4m #4m/3 7/b3 7m/2 6/b2 6m/1 2m 6/b2 #4m #4m/3 7/b3 7m/2 6/b2 6m/1 2m 6/b2 #4m #4m/3 7/b3 7m/2 6/b2 6m/1 2m 6/b2 #4m #4m/3 7/b3 7m/2 6/b2 6m/1 2m 6/b2 #4m #4m/3 7/b3 7m/2 6/b2 6m/1 2m 6/b2 #4m #4m/3 7/b3 7m/2 6/b2 6m/1 2m 6/b2 #4m #4m/3 7/b3 7m/2 6/b2 6m/1 2m 6/b2 #4m #4m/3 7/b3 7m/2 6/b2 6m/1 2m 6/b2 #4m #4m/3 7/b3 7m/2 6/b2 6m/1 2m 6/b2 #4m #4m/3 7/b3 7m/2 6/b2 6m/1 2m 6/b2 2/b2 #4m 5 2 2 6/b2 7m 6 5 2 6 5 7m 2 5 7m 2 5 7m 2 5 7m 2 5 7m 2 5 2 1 5 7m/#4 3m 2 1 7m 6m b3 2 5 7m/#4 3m 2 1 b3 b6 5 b6/2 5/2 1/3 6m/3 4/6 3/b6 6m/1 5/2 1/3 4 5 1 6m/1 5/2 1/3 4 5 b7 6 6m/3 b3/3 6/3 | csv_intro=1 2
Little Drummer Boy,For King & Country,6MtecozqUbilB5qbVARrUH,Little Drummer Boy,for KING & COUNTRY,worship_songs.csv differs in intro (similarity 0.33) for this likely matching song.,0.33,db_intro=1 b2 1 | csv_intro=1
Long Live,For King & Country,4mBOulmgOLc9uABNVXtYEn,Long Live,for KING & COUNTRY,worship_songs.csv differs in chorus (similarity 0.15) for this likely matching song.,0.15,db_chorus=1 4 6m 5 1 4 6m 5 1 4 6m 5 1 4 6m 5 1 | csv_chorus=3m 1 5 2 3m 1 5 2 3m 1 5 2 3m 1 5 2 3m 1 5 2 3m 3m 1 5 2 3m 1 5 2 3m 1 5 2 3m 1 5 2 3m 3m 1 5 2 3m 1 5 2 3m 1 5 2 3m 1 5 2 3m 5 2 3m 1 5 2 3m
No Turning Back,For King & Country,,No Turning Back,For King & Country,worship_songs.csv differs in intro (similarity 0.08) for this likely matching song.,0.08,db_intro=6m 4 1 2m 6m 4 1 2m 6m 4 1 2m 6m 4 1 2m 6m 4 1 2m 6m 4 1 2m 6m 4 1 2m 6m 4 6m 4 1 6m 4 1 6m 4 1 2m 6m 4 1 2m 6m 4 1 2m 6m 4 1 2m | csv_intro=6m 4 1 2m
Priceless,For King & Country,,Priceless,For King & Country,worship_songs.csv differs in pre_chorus (similarity 0.25) for this likely matching song.,0.25,db_pre_chorus=1 4 1 4 | csv_pre_chorus=1 2m 6m
Pushing On A Pull Door,For King & Country,4DUPlIRYztsK6D3olSOevP,Pushing On a Pull Door,for KING & COUNTRY,worship_songs.csv differs in chorus (similarity 0.07) for this likely matching song.,0.07,db_chorus=6m 4 1 5 6m 4 1 | csv_chorus=6m 4 1 6m 4 1 5 6m 4 1 4 1 5 1 1 6m 1 4 1 5 6m 1 4 1 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 2m 1 5 6m 5 6m 5 2m 1 5 4 1 5 2m 1 4 5 4 5 1 4 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 6m 4 1 5 6m 4 1 5 6m 4 1 4 5 6m 4 1
Run Wild,For King & Country,,Run Wild,For King & Country,worship_songs.csv differs in intro (similarity 0.05) for this likely matching song.,0.05,db_intro=1 2 6 1 2 1 2 3m 3m 7m 2 6 7m 3m 7m 2 3m 6 3m 7m 2 6 7m 3m 7m 2 3m 6 1 2 3m 2 5 2 3m 3m 7m 2 6 7m 3m 7m 2 3m 6 3m 7m 2 6 7m 3m 7m 2 3m 6 1 2 3m 2 5 2 6 1 2 3m 2 5 2 3m 3m 2 6m 1 2 3m 2 6 1 2 3m 2 2 1 2 3m 2 2 3m 7m 2 6 7m 3m 7m 2 3m 6 3m 7m 2 6 7m 1 2 3m 2 5 2 6 1 2 3m 2 5 2 3m 3m 2 6m 1 2 3m 2 6 1 2 3m 2 2 1 2 3m 2 2 1 2 3m 2 2 1 2 3m 2 5 1 2 6 1 2 1 2 3m 2 2 3m | csv_intro=1 2 6 1 2 1 2 3m
Without You,For King & Country,,Without You,For King & Country,worship_songs.csv differs in bridge (similarity 0.35) for this likely matching song.,0.35,db_bridge=6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 6m 4 6m 6m 5 4 5 6m 1 4 6m | csv_bridge=6m 4 1 3m 6m 4 1 3m 6m 4 1 3m 6m 4 1 3m
Set Me On Fire,Flyleaf,1NMXkYmP983tmztiArxJEn,Set Me On Fire,Flyleaf,worship_songs.csv differs in chorus (similarity 0.42) for this likely matching song.,0.42,db_chorus=4 6m 5 2 4 6m 5 4 6m 5 4 6m 5 4 | csv_chorus=4 6m 5 2 4 6m 5 4 6m 6m 5 4 6m 5 4 4 6m 5 2 4 6m 5 4 6m 4 6m 5 2 4 6m 5 4 6m
A Flowery Song,Five Iron Frenz,,A Flowery Song,Five Iron Frenzy,worship_songs.csv differs in intro (similarity 0.02) for this likely matching song.,0.02,db_intro=1 4 2m 5 1 4 2m 5 1 4 2m 5 1 4 2m 5 1 4 2m 5 1 4 2m 5 1 4 2m 5 1 4 2m 5 6 2 4 5 1 6 2 4 5 1 6 2 4 5 1 6 2 4 5 1 1 6 2 4 5 | csv_intro=b3m #4 1 #4 7 b6 b2 3 7 b6 b2 7
Here And Now,Fireflight,1OXlO92MHYAOTNZWNB5gi0,Here and Now,Fireflight,worship_songs.csv differs in chorus (similarity 0.26) for this likely matching song.,0.26,db_chorus=1 4 6m 4 5 1 4 6m 4 5 6m 1 | csv_chorus=5 1 6m 4 4 1 4 6m 4 5 1 4 6m 4 5 6m 1 1 6m 4 4 1 4 6m 4 5 1 4 6m 4 5 1 4 6m 4 5 1 4 6m 4 5 1 4 6m 4 5 4
Star Of The Show,Fireflight,0QWPTfuXv0HmTusC4RoFhs,Star Of The Show,Fireflight,worship_songs.csv differs in chorus (similarity 0.25) for this likely matching song.,0.25,db_chorus=6 4 5 2m 6 4 1 5 b7 5 2 4 | csv_chorus=6m 4 5 2m 6m 4 1 5 6m 5 2 4 6m 4 5 2m 6m 4 1 5 6m 5 2 4 6m 4 5 2m 6m 4 1 5 6m 5 2 4
Wrapped In Your Arms,Fireflight,3wKLmYbKw3l3EpLMEESDFu,Wrapped In Your Arms,Fireflight,worship_songs.csv differs in chorus (similarity 0.31) for this likely matching song.,0.31,db_chorus=1 5 6m 4 1 5 6m 4 6m 5 4 6m 5 4 | csv_chorus=1 5 6m 4 1 5 6m 4 6m 5 4 6m 5 4 1 5 6m 4 1 5 6m 4 2m 4 1 5 2m 4 1 5 1 5 6m 4 1 5 6m 4 6m 5 4 6m 5 4 6m
Undone,FFH,3B1pNvHN70d44FzgKKzXib,Undone,FFH,worship_songs.csv differs in chorus (similarity 0.31) for this likely matching song.,0.31,db_chorus=6m 4 1 5 6m 4 1 5 | csv_chorus=6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 4 4 6m 4 1 5 6m 4 1 5
Our Great God,Fernando Ortega,,Our Great God,Fernando Ortega,worship_songs.csv differs in chorus (similarity 0.00) for this likely matching song.,0.00,db_chorus=1 5m 4 1 1 5m 4 1 1 5m 4 1 1 5m 4 1 | csv_chorus=6 3m 2 6 6 3m 2 6 6 3m 2 6 6 3m 2 6
Sleepless Night,Fernando Ortega,,Sleepless Night,Fernando Ortega,worship_songs.csv differs in chorus (similarity 0.44) for this likely matching song.,0.44,db_chorus=1 2m 4 1 2m 4 1 1 b7 1 b7 1 2m 4 1 2m 4 1 | csv_chorus=1 5 1 1 2m 4 1 5 1 1 2m 4 1 1 1 1 1 5 1 1 2m 4 1 5 1 1 2m 4 1 1 1 1 4 6m 4 6m
Hands Of The Healer,Fee,,Hands Of The Healer,Fee,worship_songs.csv differs in bridge (similarity 0.13) for this likely matching song.,0.13,db_bridge=1 2 3m 1 2 3m 1 2 3m 1 2 3m 1 3m 5 | csv_bridge=4 5 6m 4 5 6m 4 5 6m 4 5 6m 4 6m 1
You Reign,Guy Penrod,3SmxbJJv2SUkd28SHLCqi4,You Reign,Guy Penrod,worship_songs.csv differs in chorus (similarity 0.35) for this likely matching song.,0.35,db_chorus=5 4 1 5 4 1 5 4 1 5 1 4 1 5 1 4 1 | csv_chorus=1 b7 4 1 b7 4 1 b7 4 1 4 b7 4 1 4 b7 4 1 b7 4 1 b7 4 1 b7 4 1 4 b7 4 1 4 b7 4
Babble On,Guardian,,Babble On,Guardian,worship_songs.csv differs in chorus (similarity 0.24) for this likely matching song.,0.24,db_chorus=1 b7 b7 4 b7 b7 1 1 b7 b7 4 b7 b7 1 b2 1 b7 b7 4 b7 b7 1 1 b7 b7 4 b7 b7 4 4 b7 b7 4 7 | csv_chorus=2 1 1 5 1 1 2 2 1 1 5 1 1 2 b3 2 1 1 5 1 1 2 2 1 1 5 1 1 5 5 1 1 5 b2
He'd Still Been God,Greater Vision,1nuEx61fi7RqSrOYmPq48o,He'd Still Been God,Greater Vision,worship_songs.csv differs in chorus (similarity 0.33) for this likely matching song.,0.33,db_chorus=1 6m 1 4 1 4 1 4 1 4 5 1 | csv_chorus=1 6m 1 4 1 4 1 4 1 4 5 1 1 6m 1 4 1 4 1 4 1 4 5 1 5 3m 5 1 5 1 5 1 5 1 2 5
Shine Jesus Shine,Graham Kendrick,,Shine Jesus Shine,Graham Kendrick,worship_songs.csv differs in chorus (similarity 0.33) for this likely matching song.,0.33,db_chorus=1 5 1 4 1 2m 2m 5 1 5 1 4 1 2m 2m b7 5 1 5 1 4 1 2m 2m 5 1 5 1 4 1 2m 5 1 | csv_chorus=1 5 1 4 1 2m 2m 1 5 1 5 1 4 1 2m 2m b7 5 1 5 1 4 1 2m 2m 5 1 5 1 5 1 4 1 2m 5 1 1 5 1 4 5 1 2m 1 5 1 5 1 4 1 2m 1 b7 5 1 5 1 4 1 2m 1 5 1 5 1 4 1 2m 5 1 1 5 1 4 1 2m 5 4 1 5 1 4 1 2m 5 1 5 1 4 1 2m 1 5 1 5 1 4 1 2m 5 1
The Servant King,Graham Kendrick,,The Servant King,Graham Kendrick,worship_songs.csv differs in chorus (similarity 0.22) for this likely matching song.,0.22,db_chorus=1 5 6m 4 5 1 5 1 1 4 7 1 5 1 5 | csv_chorus=1 5 6m 1 4 5 1 5 1 1 4 2 1 5 6m 2 1 5 6m 1 4 5 1 5 1 1 4 2 1 5 6m 2 1 5 6m 1 4 5 1 5 1 1 4 2 1 5 6m 2 1 5 6m 1 4 5 1 5 1 1 4 2 1 5 6m 2
O Come All Ye Faithful,Hymn (Simple Version),,O Come All Ye Faithful,Hymn (Simple Version),worship_songs.csv differs in intro (similarity 0.04) for this likely matching song.,0.04,db_intro=1 4 5 4 | csv_intro=1 4 5 4 1 5 5 2 5 1 4 5 1 4 5 4 1 2m 6 2m 5 1 1 5 1 4 1 2m 6 2m 5 1 1 5 1 1 5 1 5 1 1 5 5 2 5 1 4 5 1 4 5 4 1 2m 6 2m 5 1 1 5 1 4 1 2m 6 2m 5 1 1 5 1 1 5 1 5 1 1 5 5 2 5 1 4 5 1 4 5 4 1 2m 6 2m 5 1 1 5 1 4 1 2m 6 2m 5 1 1 5 1
I Surrender All,hymn,,I Surrender All,hymn,worship_songs.csv differs in chorus (similarity 0.44) for this likely matching song.,0.44,db_chorus=1 4 5 1 1 6m 4 5 1 | csv_chorus=5 1 2 5 5 3m 1 2 5
I Surrender All,hymn,,I Surrender All,hymn,worship_songs.csv differs in chorus (similarity 0.25) for this likely matching song.,0.25,db_chorus=1 4 5 1 1 6m 4 5 1 | csv_chorus=1 4 5 1 1 6m 4 5 1 1 4 5 1 1 6m 4 5 1 1 4 5 1 1 6m 4 5 1 1 4 5 1 1 6m 4 5 1
I Surrender All,hymn,,I Surrender All,hymn,worship_songs.csv differs in chorus (similarity 0.50) for this likely matching song.,0.50,db_chorus=1 4 5 1 1 6m 4 5 1 | csv_chorus=1 4 1 5 4 5 5 4 1 1 4 6m 1 4 5 1 5 1
To God Be the Glory,hymn,,To God Be the Glory,hymn,worship_songs.csv differs in chorus (similarity 0.50) for this likely matching song.,0.50,db_chorus=1 1 5 5 5 5 1 5 1 5 1 5 1 1 4 1 5 5 1 | csv_chorus=1 1 5 5 5 5 1 5 1 5 1 5 1 1 4 1 5 5 1 1 1 5 5 5 5 1 5 1 5 1 5 1 1 4 1 5 5 1
