file_name,title,author,spotify_song_id,artist_name_db,track_name_db,summary,similarity_score,section_snapshot,opensong_source_path
as long as i have breath i42002,As Long as I Have Breath,Mark Altrogge,,Mark Altrogge,As Long As I Have Breath,OpenSong comparison found a low similarity in chorus (similarity 0.31) for this likely matching song.,0.31,db_chorus=5 2 6m 5 1 5 2 1 2 5 | opensong_chorus=1 5 b3 b3 2m 1 4 b3 b3 6m 4 b3 b3 2m 5 4,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\as long as i have breath i42002
at the cross i47062,At the cross,Chris Tomlin,,Chris Tomlin,At the Cross,OpenSong comparison found a low similarity in pre_chorus (similarity 0.40) for this likely matching song.,0.40,db_pre_chorus=5 4 5 4 | opensong_pre_chorus=5 4 5 4 2 5 4 5 4 2,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\at the cross i47062
audience of one i42005,Audience of One,Big Daddy Weave,6s2kbczHvB0VDd5US1J5AL,Big Daddy Weave,Audience of One,OpenSong full progression differs strongly from current canonical progression (similarity 0.35).,0.35,db_reference=1 3m 6m 4 1 3m 6m 4 1 3m 6m 4 1 3m 6m 4 1 3m 6m 4 1 3m 6m 4 1 6m 4 1 6m 1 4 6m 4 6m 2m 6m 4 5 1 6m 4 1 6m 4 5 1 6m 4 1 6m 4 5 1 3m 6m 4 1 3m 6m 4 1 3m 6m 4 1 6m 1 4 6m 4 6m 2m 6m 4 5 1 6m 4 1 6m 4 5 1 6m 4 1 6m 4 5 6m 5 3m 1 2m 5 1 6m 4 1 6m 4 5 1 6m 4 1 6m 4 5 1 6m 4 1 6m 4 5 1 6m 4 1 6m 4 5 1 | opensong_full=6m 6m 4 1 6m 6m 4 1 6m 6m 6m 4 1 6m b6 5m 5 6m 4 5 6m b7 b6 4 1 5 4 1 5 6m b6 4 1 4 5 5 4 1 5 4 1 5 6m 4 1 4 5 6m,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\audience of one i42005
awaken love i48396,Awaken Love,Kim Walker-Smith,,Kim Walker-Smith,Awaken Love,OpenSong comparison found a low similarity in chorus (similarity 0.31) for this likely matching song.,0.31,db_chorus=3m 2 1 3m 2 1 5 6m 3m 1 5 6m 3m 1 3m 2 1 3m 2 1 1 5 6m 3m 1 5 6m 3m 1 5 6m 3m 1 5 6m 3m 1 5 6m 3m 1 5 6m 3m 1 | opensong_chorus=3m 2 1 3m 2 1 5 6m 3m 1 5 6m 3m 1,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\awaken love i48396
awakening i3278,Awakening,Chris Tomlin,,Chris Tomlin,Awakening,OpenSong comparison found a low similarity in bridge (similarity 0.29) for this likely matching song.,0.29,db_bridge=5 4 2m 6m 1 2m 4 5 4 6m 1 5 4 6m 1 5 4 6m 1 5 1 6m 1 5 | opensong_bridge=2m 4 6m 1 5 2m 4 2m b6,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\awakening i3278
be glorified i42012,Be Glorified,"Louie Giglio, Chris Tomlin",,Chris Tomlin,Be Glorified,OpenSong comparison found a low similarity in chorus (similarity 0.38) for this likely matching song.,0.38,db_chorus=4 1 4 1 4 6m 5 4 1 1 4 7 4 | opensong_chorus=1 5 1 6 5 1 3m 2 1 5,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\be glorified i42012
be magnified i42013,Be Magnified,Lynn DeShazo,,Lynn DeShazo,Be Magnified,OpenSong full progression differs strongly from current canonical progression (similarity 0.27).,0.27,db_reference=1 5 2m 4 1 b7 5 3m 6m 4 2m 5 6m 5 4 5 6m 4 5 1 | opensong_full=1 6m 5 2m 1 4 5 6m 6m 6m 5 2m 1 4 5 6m 2 1 6m 5 2m 1 4 5 6m 6m 6m 5 2m 1 4 5 6m 5 1 5 2m 4 5 1 5 1 5 2m 4 5 6m 2m b6 5 1 1 5 2m 1 4 1 b7 3m 6m 4 1 2m 5 6m 5 4 5 6m 2m b6 5 1,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\be magnified i42013
be still i48149,Be Still,Hillsong Worship,,Hillsong Worship,Be Still,OpenSong comparison found a low similarity in bridge (similarity 0.24) for this likely matching song.,0.24,db_bridge=1 2m 6m 4 1 2m 6m 4 1 2m 6m 4 1 2m 6m 4 1 2m 6m 4 1 2m 6m 4 1 2m 6m 4 1 2m 6m 4 1 2m 6m 4 1 2m 6m 4 1 2m 6m 4 1 2m 6m 4 1 2m 6m 4 1 2m 6m 4 1 2m 6m 4 1 2m 6m 4 1 2m 6m 4 1 2m 6m 4 1 2m 6m 4 1 2m 6m 4 1 2m 6m 4 | opensong_bridge=1 2m 6m 4 1 2m 6m 4 1 2m 6m 4 1 2m 6m 4 1 2m 6m 4,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\be still i48149
beautiful jesus i48595,Beautiful Jesus,Jonathan David & Melissa Helser,,Jonathan David & Melissa Helser,Beautiful Jesus,OpenSong full progression differs strongly from current canonical progression (similarity 0.26).,0.26,db_reference=1 2m 1 4 1 2m 1 4 1 2m 1 4 1 2m 1 4 | opensong_full=1 6m 1 1 4 1 6m 1 1 4 6m 5 1 4 1 6m 1 1 4 1 6m 1 1 4 1 6m 1 1 4 6m 5 1 4 1 6m 1 1 4 6m 1 4 1 2m 1 4 1 2m 1 4 1 2m 1 4 1 2m 1 4 5 1 2m 1 4,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\beautiful jesus i48595
beautiful lord i42020,Beautiful Lord,Leeland Mooring,,Leeland,Beautiful Lord,OpenSong comparison found a low similarity in pre_chorus (similarity 0.20) for this likely matching song.,0.20,db_pre_chorus=2m 1 4 | opensong_pre_chorus=b2 4 4 4 4,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\beautiful lord i42020
behold the lamb i103968,BEHOLD THE LAMB,"Keith Getty, Kristyn Getty, Stuart Townend",,Keith Getty,Behold The Lamb,OpenSong full progression differs strongly from current canonical progression (similarity 0.11).,0.11,db_reference=5 2 5 6 5 2 5 6 5 2 5 6 5 6 2 | opensong_full=1 2 6m 5 2 1 5 2 1 2 6m 5 2 1 2 5 1 5 1 2 1 5 1 2 1 5 1 2 4 3 1 2 5 1 2 6m 5 2 1 5 2 1 2 6m 5 2 1 2 5 1 2 6m 5 2 1 5 2 1 2 6m 5 2 1 2 5 1 2 6m 5 2 1 5 2 1 2 6m 5 2 1 2 5 4 1 5 1 2 1 5 1 2 4 1 5 1 2 1 2 5,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\behold the lamb i103968
better is one day i82,Better is One Day,"Matt Redman, Kutless",5kWmmScSHeCDygSgi66s6E,Kutless,Better Is One Day,OpenSong comparison found a low similarity in chorus (similarity 0.44) for this likely matching song.,0.44,db_chorus=4 5 4 5 4 5 4 5 1 | opensong_chorus=4 5 4 5,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\better is one day i82
blessed assurance i6975,Blessed Assurance,"Knapp, Phoebe P. (1839-1908), Crosby, Fanny Jane (1820-1915)",,Fanny Crosby,Blessed Assurance,OpenSong comparison found a low similarity in chorus (similarity 0.53) for this likely matching song.,0.53,db_chorus=1 5 1 5 2 6 2 2 5 1 5 1 5 5 1 6m 5 2 5 | opensong_chorus=5 1 4 1 4 2 5 5 1 4 1 2m 5 1,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\blessed assurance i6975
blessed be the name of the lord i64637,Blessed be the Name of the Lord,Clinton Utterbach,,"Clinton Utterbach, Clinton Utterbach",Blessed Be the Name of the Lord,OpenSong comparison found a low similarity in verse (similarity 0.00) for this likely matching song.,0.00,db_verse=1 4 5 3m 4 b6 1 4 5 3m 4 1 | opensong_verse=3,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\blessed be the name of the lord i64637
break free i42036,Break Free,Hillsong United,0RUsLcdxWxFauHe9OdZMuy,Hillsong UNITED,Break Free,OpenSong comparison found a low similarity in bridge (similarity 0.00) for this likely matching song.,0.00,db_bridge=2 3m 1 2 3m 1 2 3m 1 2 1 3m 6m 3m 6m 1 | opensong_bridge=5 6 6 4 5 6 6 4 4 5 6 4 4 5 6 4 4,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\break free i42036
breathe i1748,Breathe,Marie Barnett,,Marie Barnett,Breathe,OpenSong full progression differs strongly from current canonical progression (similarity 0.30).,0.30,db_reference=1 5 6m 5 4 6m 5 1 5 6m 5 4 6m 5 | opensong_full=1 4 1 4 1 5 6m 5 4 6m 5 1 4 1 4 1 5 6m 5 4 6m 5 1 4 1 4 1 5 6m 5 4 6m 5 1 5 6m 5 4 6m 5 1 5 6m 5 4 6m 5,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\breathe i1748
breathe i48919,Breathe,C3 music,,Influence Music & Matt Gilman,Breathe,OpenSong full progression differs strongly from current canonical progression (similarity 0.33).,0.33,db_reference=6m 4 1 6m 4 5 6m 4 1 4 5 1 1 2m 4 6m 1 2m 6m 6m 4 1 6m 4 5 6m 4 1 4 5 1 6m 4 1 6m 4 5 6m 4 1 4 5 1 1 2m 4 6m 6m 4 1 6m 4 5 6m 4 1 4 5 1 6m 4 1 6m 4 5 6m 4 1 4 5 1 1 2m 4 6m | opensong_full=1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 5 6m 4 1 5 2m 5 4 1 2m 4,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\breathe i48919
by his wounds i42040,By His Wounds,Mac Powell,2eXr4sgCfHgJ9VjlQrTvhM,Mac Powell,By His Wounds,OpenSong comparison found a low similarity in verse (similarity 0.16) for this likely matching song.,0.16,db_verse=6m 2 6m 2 4 3m b3 5 6m 6 4 6m 4 2m 3 7m 3 6m 5 | opensong_verse=1 5 6m 1 5 1,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\by his wounds i42040
by your side i42041,By Your Side,Tenth Avenue North,6qdpQ6jPiaCYE9Qw4nZVuD,Tenth Avenue North,By Your Side,OpenSong comparison found a low similarity in verse (similarity 0.29) for this likely matching song.,0.29,db_verse=1 6m 5 4 1 | opensong_verse=1 6m 5 4 1 1 6m b3 5 4 1 1 6m 5 4 1 5,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\by your side i42041
call upon the lord i47339,Call Upon The Lord,Elevation Worship,,Elevation Worship,Call Upon The Lord,OpenSong comparison found a low similarity in chorus (similarity 0.41) for this likely matching song.,0.41,db_chorus=1 5 4 6m 1 4 1 5 4 6m 1 4 1 1 5 4 6m 1 4 1 5 4 6m 1 4 1 6m 4 1 | opensong_chorus=1 5 4 6m 1 4 1 5 4 6m 1 4,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\call upon the lord i47339
calvary i7861,Calvary,"Hillsong Worship, Jonas Myrin, Reuben Morgan",,Hillsong Worship,Calvary,OpenSong full progression differs strongly from current canonical progression (similarity 0.30).,0.30,db_reference=1 6m 4 2m 1 6m 4 5 1 | opensong_full=1 6m 4 5 6m 5 1 4 5 1 1 6m 4 1 6m 4 5 1 6m 4 5 b2 6m 1 4 5 1,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\calvary i7861
children of the light i47072,Children of the light,Hillsong United,,Hillsong Live,Children Of The Light,OpenSong comparison found a low similarity in chorus (similarity 0.00) for this likely matching song.,0.00,db_chorus=1 5 6m 4 1 5 6m 4 1 5 6m 4 | opensong_chorus=b3 b7 1m b6 b3 b7 1m b6 b3 b7 1m b6,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\children of the light i47072
christ is risen i3643,Christ is Risen,"Matt Maher, Matt Maher, Mia Fieldes",,Matt Maher,Christ Is Risen,OpenSong comparison found a low similarity in chorus (similarity 0.23) for this likely matching song.,0.23,db_chorus=1 1 4 6m 5 1 1 4 6m 5 1 1 4 6m 5 1 1 4 6m 5 1 1 4 6m 5 1 1 4 6m 5 | opensong_chorus=1 4 6m 1 1 4 6m,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\christ is risen i3643
christmas offering i108780,Christmas Offering,Paul Baloche,4yHASDrp8JDewRD9bjaVe1,Paul Baloche,Christmas Offering,OpenSong comparison found a low similarity in verse (similarity 0.19) for this likely matching song.,0.19,db_verse=1 4 2m 1 5 6m 2m 5 1 4 2m 1 5 6m 2m 5 4 1/3 6m 3 6m 5 4 1 | opensong_verse=1 4 2m 5 1 4 2m 5 1 4 2m 1 5 6m 2m 5 2 1 4 2m 1 5 6m 2m 5 4 1 6m 3 6m 5 4 1 1 4 5 1 4 5 1 4 5 2 4 5 1 4 6m 5 1 4 6m 5 1 2 5 3m 2 6 7m 3m 6 2 5 3m 2 6 7m 3m 6 5 6 7m #4 7m 6 5 2 2 5 6 2 5 6 2 5 6 3 5 6 1 5 6 2 3 2 3 2 3 6 2 3 6 2 3 6 2 3 7 2 3 6 2 3 6 2 3 6,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\christmas offering i108780
closer i46896,Closer,Amanda Lindsey Cook,,Amanda Cook,Closer,OpenSong comparison found a low similarity in chorus (similarity 0.00) for this likely matching song.,0.00,db_chorus=5 6m 4 1 | opensong_chorus=6 2 2 #4m 2 6 #4m 2,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\closer i46896
come and fill me up i42052,Come and Fill Me Up,Brian Doerksen,,Brian Doerksen,Come And Fill Me Up,OpenSong comparison found a low similarity in chorus (similarity 0.53) for this likely matching song.,0.53,db_chorus=4 1 4 1 5 4 1 4 5 | opensong_chorus=2m 5 1 6m 2m 5 1 6m 1 4 5 4 1 4 5,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\come and fill me up i42052
come awake i42049,Come Awake,"David Crowder, Jason Solley, Mike Hogan",,David Crowder Band,Come Awake,OpenSong comparison found a low similarity in bridge (similarity 0.17) for this likely matching song.,0.17,db_bridge=3m 2 1 2 3m 2 5 2 1 5 2 1 5 2 1 5 2 1 | opensong_bridge=4 #4 4 #4 1 5 4 1,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\come awake i42049
come now is the time to worship i135,Come Now Is the Time to Worship,Brian Doerksen,,Brian Doerksen,Come Now Is The Time To Worship,OpenSong full progression differs strongly from current canonical progression (similarity 0.35).,0.35,db_reference=4 1 4 1 4 6m 4 5 | opensong_full=1 4 1 5 2m 4 1 4 1 b6 5 2m 4 b6 1 4 1 4 1 4 6m 2m 5,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\come now is the time to worship i135
convinced i48824,Convinced,Jake Hamilton,,Jake Hamilton,Convinced,OpenSong comparison found a low similarity in chorus (similarity 0.12) for this likely matching song.,0.12,db_chorus=6m 4 1 5 6m 1 5 2 | opensong_chorus=1m b6 b3 b7 1m b3 b7 4,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\convinced i48824
cornerstone i1977,Cornerstone,"Edward Mote, Hillsong",,Hillsong Worship,Cornerstone,OpenSong comparison found a low similarity in chorus (similarity 0.00) for this likely matching song.,0.00,db_chorus=4 6m 5 4 6m 5 1 4 6m 5 1 1 4 6m 5 1 4 6m 5 1 4 6m 5 1 1 4 6m 5 1 4 6m 5 1 4 6m 5 1 | opensong_chorus=3 b6m #4 7 3 b6m #4 7 3 b6m #4 7 3 b6m #4 7 3 b6m #4 7 3 b6m #4 7 3 b6m #4 7 3 b6m #4 7 3 b6m #4 7,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\cornerstone i1977
crowns i47180,Crowns,Hillsong Worship,,Hillsong Worship,Crowns,OpenSong comparison found a low similarity in chorus (similarity 0.24) for this likely matching song.,0.24,db_chorus=4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 b2 1 b2 1 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 5 6m 4 5 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 | opensong_chorus=4 1 5 6m 4 1 5 6m 4 b3 1 5 6m 4 1 5 b2 1 1 1,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\crowns i47180
days of elijah i3285,Days of Elijah,Robin Mark,,Mark Robin,Days Of Elijah,OpenSong comparison found a low similarity in bridge (similarity 0.25) for this likely matching song.,0.25,db_bridge=1 | opensong_bridge=1 4 1 5,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\days of elijah i3285
did you feel the mountains tremble i42071,Did You Feel the Mountains Tremble?,Martin Smith,,Martin Smith,Did You Feel the Mountains Tremble,OpenSong full progression differs strongly from current canonical progression (similarity 0.19).,0.19,db_reference=1 4 2m 1 5 1 4 2m 1 5 1 | opensong_full=1 4 2m b2 5 1 1 4 2m b2 5 1 1 4 2m b2 b6 5 1 5 1 4 1 4 1 5 4 1 2m 4 b6 1 b6 1 1 4 1 4 1 5 4 1 2m 4 b6 1 b6 1 1 4 2m 1 5 1 4 2m 1,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\did you feel the mountains tremble i42071
do it again i47541,Do It Again,"Elevation Worship, Bethel Music",,Elevation Worship,Do It Again,OpenSong comparison found a low similarity in chorus (similarity 0.37) for this likely matching song.,0.37,db_chorus=4 5 1 4 4 5 1 4 1 3 4 1 4 3 4 1 4 1 3 4 1 4 1 4 1 4 1 4 1 4 | opensong_chorus=1 2 5 1 1 2 5 1 5 1 1 2 5 1 1 2 5 1,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\do it again i47541
elohim i47187,Elohim,Hillsong Worship,,Hillsong Worship,Elohim,OpenSong comparison found a low similarity in chorus (similarity 0.24) for this likely matching song.,0.24,db_chorus=1 5 4 2m 1 5 1 4 5 1 5 6m 4 1 5 6m 4 1 5 4 2m 1 5 1 4 5 6m 4 1 5 6m 4 1 1 5 4 2m 1 5 4 5 1 | opensong_chorus=1 5 4 2m 2m 1 5 1 4 5 #4m,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\elohim i47187
