artist_name,track_name,spotify_song_id,spotify_artist_id,display_key,genre,parse_status,issue_count,priority_score,issue_types,issue_summary,source_version_count,section_snapshot,suggested_search_query,review_status,review_notes,override_action,override_changes,source_urls
Jadon Lavik,I Surrender All,5ZHd2S3xeMXKoSws9XlwKC,4LIG4IMVuzGJjAhMxXtll1,D,alt-rock,sections_explicit,2,100,title_family_variant_conflict | odd_accidental,"I Surrender All has a verse that is broadly similar to Citizens's version, but the accidentals differ (b6 vs none). || I Surrender All has a chorus that is broadly similar to Israel Houghton's version, but the accidentals differ (b6 vs none). || I Surrender All has a verse that is broadly similar to William McDowell's version, but the accidentals differ (b6 vs none).",2,verse=1 4 1 b6 1 b6 6m 4 1 b6 1 1 4 1 b6 1 b6 6m 4 1 b6 1 | chorus=1 4 5 1 1 4 1 5 4 1 b6 1 | bridge=b6 6m 4 5 1,Jadon Lavik I Surrender All chords,,,,,
Jeremy Riddle,Fall Afresh,72r5Vvr4U2XcxYdEGBK9nw,6jZbQXvNtDjnj18yoHMuvi,C,alt-rock,sections_explicit,2,100,repeated_section_disagreement | odd_accidental,"chorus occurrences differ more than expected (chorus_1 vs chorus_2, similarity 0.57). || bridge_1 contains suspicious accidental degrees (b6) inside an otherwise common worship-style pattern: 4 1 4 1 4 6m 4 b6 5 5 5",1,verse=1 4 1 4 | chorus=1 4 6m 4 1 4 6m 4 | bridge=4 1 4 1 4 6m 4 b6 5 5 5,Jeremy Riddle Fall Afresh chords,,,,,
Jimmy Needham,Unfailing Love (Kelly's Song),6lMVQmjEs7c7EmjHV0cSCw,4yMGs8CtlMVF7RV2XU539m,A,alt-rock,unsectioned_full_song,2,100,source_version_conflict | no_sections,"Imported versions disagree for this same song. Active parse status is unsectioned_full_song, alternate version is unsectioned_full_song, and progression similarity is 0.19. || No labeled sections were parsed; this song is currently using a full-song fallback only.",2,full_song=2m 3m 4 2m 3m 4 2m 3m 4 2m 3m 4 2m 3m 4 2m 3m 4 1 1 #4 4m 1 1 #4 4m 2m 3m 4 2m 3m 4 2m 3m 4 2m 3m 4 2m 3m 4 1 1 #4 4m 1 1 #4 4m 2m 3m 4 2m 3,Jimmy Needham Unfailing Love (Kelly's Song) chords,,,,,
Karen Peck & New River,I Know I'll Be There,4lJ9JYHe9qBYr9mqntlbh7,7F1556VoxW6M06EOc2AnA5,G,gospel,sections_explicit,2,100,repeated_section_disagreement | odd_accidental,"bridge occurrences differ more than expected (bridge_1 vs bridge_2, similarity 0.29). || verse_2 contains suspicious accidental degrees (b6) inside an otherwise common worship-style pattern: 1 2m 1 1/3 4 1 1/7 6m 3m 4 1/3 2m b6 5",1,verse=1 2m 1 1/3 4 1 1/7 6m 3m 4 1/3 2m b6 5 | chorus=1 1/3 4 1/3 2m 5 1 4 1 1/3 4 1/3 2m 5 1 5 | bridge=6m 5 4 1/3 2m b6 5,Karen Peck & New River I Know I'll Be There chords,,,,,
Lincoln Brewster,There Is Power,68x16tb33FQdWyiOaZYteP,1aoy0R8uP3x33eqKZOLpN1,A,rock,sections_explicit,2,100,source_version_conflict | repeated_section_disagreement,"Imported versions disagree for this same song. Active parse status is sections_explicit, alternate version is unsectioned_full_song, and progression similarity is 0.88. || chorus occurrences differ more than expected (chorus_1 vs chorus_12, similarity 0.30).",4,verse=4 1 5 1 4 1 5 1 4 1 | chorus=4 1 5 1 4 1 5 1 4 1,Lincoln Brewster There Is Power chords,,,,,
Matt Redman,It Is Well With My Soul - Live,3xRyvAjJ3jI3XuS7urBomO,0bz9hDpUbAw5JElgEiuIYZ,G,rock,sections_explicit,2,100,source_version_conflict | odd_accidental,"Imported versions disagree for this same song. Active parse status is sections_explicit, alternate version is unsectioned_full_song, and progression similarity is 0.76. || chorus_1 contains suspicious accidental degrees (b6) inside an otherwise common worship-style pattern: 4 b6 6m 4 b6 6m 4 b6 6m b6 5",2,verse=1 5 6m 1 5 6m 1 5 6m 1 5 6m | chorus=4 b6 6m 4 b6 6m 4 b6 6m b6 5 | bridge=1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m,Matt Redman It Is Well With My Soul - Live chords,,,,,
Newsboys,We Believe,1dtzjTkNecIRAL4X3u4CtL,1SZMaiNHfdUuU0qZKZ6y62,D,rock,sections_explicit,2,100,source_version_conflict | odd_accidental,"Imported versions disagree for this same song. Active parse status is sections_explicit, alternate version is unsectioned_full_song, and progression similarity is 0.71. || bridge_1 contains suspicious accidental degrees (b6) inside an otherwise common worship-style pattern: b6 5 b6 5 b7 4 1 b7 4 1 b7 4 1 b7 4 1 6m 4 1 5",2,verse=6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 | chorus=2m 1/3 4 2m 1/3 4 2m 1/3 4 2m 1/3 4 | bridge=b6 5 b6 5 b7 4 1 b7 4 1 b7 4 1 b7 4 1 6m 4 1 5,Newsboys We Believe chords,,,,,
Passion,Way Maker - Live From Passion 2020,16lF3B47C7KM9GPok917Ap,6piIAIurGAryW5h1rqQC16,C,alt-rock,sections_explicit,2,100,source_version_conflict | repeated_section_disagreement,"Imported versions disagree for this same song. Active parse status is sections_explicit, alternate version is sections_explicit, and progression similarity is 0.36. || verse occurrences differ more than expected (verse_1 vs verse_2, similarity 0.00). || chorus occurrences differ more than expected (chorus_1 vs chorus_2, similarity 0.00).",2,verse=2 6/b2 5 2 6 2 6/b2 5 | chorus=2 6/b2 7m 6 5 2 6/b2 7m 6 5 | bridge=2 6/b2 7m 6 5 2 6/b2 7m 6 5,Passion Way Maker - Live From Passion 2020 chords,,,,,
Phil Wickham,House Of The Lord,3Gyl1BvC41QD8rXEMfSQWY,5d1JhBfyb58upMXCZOdbQu,A,alternative,sections_explicit,2,100,source_version_conflict | odd_accidental,"Imported versions disagree for this same song. Active parse status is sections_explicit, alternate version is unsectioned_full_song, and progression similarity is 0.30. || chorus_2 contains suspicious accidental degrees (b6) inside an otherwise common worship-style pattern: 4 1 5 1 4 1 5 4 1 5 b6 4 5 1",2,chorus=4 1 5 1 4 1 5 4 1 5 b6 4 5 1,Phil Wickham House Of The Lord chords,,,,,
Phil Wickham,Worthy of My Song (Worthy of It All),4YFy1VOf7pV1PF6rSxiz1v,5d1JhBfyb58upMXCZOdbQu,D,alternative,sections_explicit,2,100,repeated_section_disagreement | odd_accidental,"chorus occurrences differ more than expected (chorus_1 vs chorus_5, similarity 0.25). || verse_2 contains suspicious accidental degrees (b6) inside an otherwise common worship-style pattern: 1 2m 1/3 4 1 2m 1/3 4 6m b6 5",2,verse=1 2m 1/3 4 1 2m 1/3 4 6m b6 5 | chorus=1 2m 1/3 4 1 2m 1/3 4 | bridge=1 2m 6m 4 1 2m 6m 5 4,Phil Wickham Worthy of My Song (Worthy of It All) chords,,,,,
Rend Collective,Hallelujah Anyway,0uryoZxnSimQVSFnGhyqxU,11Y54BxlxC3UIAUkU2eadQ,G,rock,sections_explicit,2,100,repeated_section_disagreement | odd_accidental,"verse occurrences differ more than expected (verse_1 vs verse_2, similarity 0.54). || chorus_1 contains suspicious accidental degrees (b6) inside an otherwise common worship-style pattern: 6m 1/3 4 1 1/3 b6 6m 1/3 4 b6 6m 1/3 4 1 1/3 b6 6m 1/3 4 5",1,verse=1 b2 1 b2 1 b2 1 b2 1 b2 1 b2 1/3 4 | chorus=6m 1/3 4 1 1/3 b6 6m 1/3 4 b6 6m 1/3 4 1 1/3 b6 6m 1/3 4 5 | bridge=4 1/3 2m 1/3 1 4 1/3 5 4 1 4 1/3 2m 1/3 1 4 1/3 5 4 1,Rend Collective Hallelujah Anyway chords,,,,,
Rend Collective,I CHOOSE TO WORSHIP,4lVkwkjR27tEl9i8ZG7MTb,11Y54BxlxC3UIAUkU2eadQ,D,rock,sections_explicit,2,100,source_version_conflict | odd_accidental,"Imported versions disagree for this same song. Active parse status is sections_explicit, alternate version is unsectioned_full_song, and progression similarity is 0.61. || verse_1 contains suspicious accidental degrees (b6) inside an otherwise common worship-style pattern: 1 b6 6m b6 4 1 b6 6m b6 4",3,verse=1 b6 6m b6 4 1 b6 6m b6 4 | chorus=6m 1 5 4 6m 5 4 6m 1 5 4 6m 5 | bridge=4 1 b6 6m 4 1 b6 6m 4 1 b6 6m 1/3 4 6m b6,Rend Collective I CHOOSE TO WORSHIP chords,,,,,
Ryan Stevenson,No Matter What (feat. Bart Millard),1YCdG8XueAjEKfFwMLxu3u,1rxhmvc4pue9A2fEXnLT97,G,rock,sections_explicit,2,100,repeated_section_disagreement | odd_accidental,"chorus occurrences differ more than expected (chorus_2 vs chorus_3, similarity 0.00). || bridge_1 contains suspicious accidental degrees (b6) inside an otherwise common worship-style pattern: 6m 4 b6 1 6m 4 5",1,verse=3m 4 5 1 3m 4 5 1 | chorus=2 7m 5 6 2 7m 5 6 7m | bridge=6m 4 b6 1 6m 4 5,Ryan Stevenson No Matter What (feat. Bart Millard) chords,,,,,
Shane & Shane,His Mercy Is More (Live),663E0Tn2w7TyDSO4ATGiPD,2LFbgsbEhfilNpQYW7mied,G,rock,sections_explicit,2,100,source_version_conflict | odd_accidental,"Imported versions disagree for this same song. Active parse status is sections_explicit, alternate version is unsectioned_full_song, and progression similarity is 0.77. || chorus_1 contains suspicious accidental degrees (b6) inside an otherwise common worship-style pattern: 4 1 6m 5 4 1 b6 4 1 5 6m 4 1 5 1",5,verse=1 4 1 5 6m 4 5 1 2m 1/3 4 1/3 4 1 5 1 | chorus=4 1 6m 5 4 1 b6 4 1 5 6m 4 1 5 1,Shane & Shane His Mercy Is More (Live) chords,,,,,
Shane & Shane,Tis So Sweet,3723hh92hbdijpc1zeOnQC,2LFbgsbEhfilNpQYW7mied,D,rock,sections_explicit,2,100,title_family_variant_conflict | odd_accidental,"Tis So Sweet has a verse that is broadly similar to Jadon Lavik's version, but the accidentals differ (b6 vs none). || verse_4 contains suspicious accidental degrees (b6) inside an otherwise common worship-style pattern: 1 4 1 4 5 1/3 4 1 5/7 6m 4 b6 5",1,verse=1 4 1 4 5 1/3 4 1 5/7 6m 4 b6 5 | chorus=4 5 6m 4 5 1 1/3 4 1 5/7 6m 4 5,Shane & Shane Tis So Sweet chords,,,,,
Smokie Norful,Mighty God,3DrheaE76W8jqziw7Q1rCO,0sD8Amms4kSxs5tBV4CUmR,C#,soul,sections_explicit,2,100,repeated_section_disagreement | odd_accidental,"verse occurrences differ more than expected (verse_1 vs verse_3, similarity 0.56). || verse_4 contains suspicious accidental degrees (#4) inside an otherwise common worship-style pattern: 4 1 2 5 #4 4 1",1,verse=4 1 2 5 #4 4 1 | chorus=1 1 b6/1 1 1 b7/2 5 4/6 b7 | bridge=4m 1m 4m b6 b3/5 4m 5 5m 1,Smokie Norful Mighty God chords,,,,,
Sonicflood,You Are Worthy of My Praise,5R5clgOb2cRZjnwQKo3NmI,1lPSXeZw9i7js7PdFJXEJI,A,rock,sections_explicit,2,100,repeated_section_disagreement | odd_accidental,"chorus occurrences differ more than expected (chorus_1 vs chorus_3, similarity 0.40). || verse_1 contains suspicious accidental degrees (b6) inside an otherwise common worship-style pattern: 6m 4 2m b7 6m 4 2m b7 b6 5 b6 4",1,verse=6m 4 2m b7 6m 4 2m b7 b6 5 b6 4 | chorus=1 4 2m b7 1 4 2m 5 b7 1,Sonicflood You Are Worthy of My Praise chords,,,,,
Steven Curtis Chapman,Glorious Unfolding,5AyWEKs3d9PXpPkUuf5vup,3vcFXwLEUdfWMu7gTQKyot,F,rock,sections_explicit,2,100,source_version_conflict | odd_accidental,"Imported versions disagree for this same song. Active parse status is sections_explicit, alternate version is unsectioned_full_song, and progression similarity is 0.85. || verse_2 contains suspicious accidental degrees (#4) inside an otherwise common worship-style pattern: 5 3m 1 3m #4 5 1 5 2 1",2,verse=5 3m 1 3m #4 5 1 5 2 1 | chorus=5 1 6m 1 3m 1 5 1 6m 1 3m 1 3m 2 | bridge=1 3m 2 1 2 3m 2 1,Steven Curtis Chapman Glorious Unfolding chords,,,,,
Steven Curtis Chapman,I'll Take Care Of You,6I4poJJTHSXWwp7K2QEPIY,3vcFXwLEUdfWMu7gTQKyot,E,rock,sections_explicit,2,100,repeated_section_disagreement | odd_accidental,"verse occurrences differ more than expected (verse_1 vs verse_2, similarity 0.40). || chorus_1 contains suspicious accidental degrees (b6) inside an otherwise common worship-style pattern: 1 6m 2m 4m 3m b6 6m 2m 5 4 3 6m 2 4 5",1,verse=b7 1 4 4 4 4 2 b3 2 2 2m 1 4m 5 | chorus=1 6m 2m 4m 3m b6 6m 2m 5 4 3 6m 2 4 5,Steven Curtis Chapman I'll Take Care Of You chords,,,,,
Third Day,Mountain Of God,6ylpWhmpJow6Gg9Vik7KK9,7uWXomGkKtIq9B4XgA3gch,D,rock,sections_explicit,2,100,source_version_conflict | odd_accidental,"Imported versions disagree for this same song. Active parse status is sections_explicit, alternate version is unsectioned_full_song, and progression similarity is 0.27. || bridge_1 contains suspicious accidental degrees (#4, b6) inside an otherwise common worship-style pattern: 4 5 b6 4 1 4 #4",2,verse=5 4 #4 5 1 5 4 #4 5 b7 5 b7 1 | chorus=5 4 #4 5 1 5 4 #4 5 1 | bridge=4 5 b6 4 1 4 #4,Third Day Mountain Of God chords,,,,,
VaShawn Mitchell,Chasing After You,6spke4uiHwB2GvII3j6ZaY,1Agf8ZtreYoKAXgpeAd7GA,C,gospel,sections_explicit,2,100,repeated_section_disagreement | odd_accidental,"verse occurrences differ more than expected (verse_1 vs verse_3, similarity 0.44). || chorus_1 contains suspicious accidental degrees (#4) inside an otherwise common worship-style pattern: 5/7 1 4 5/7 1 #4 5/7 1 4 5/7 1 #4",1,verse=5 1 5 1 5/7 1 2m 1/3 4 5 1 5 1 5/7 1 2m 1/3 4 | chorus=5/7 1 4 5/7 1 #4 5/7 1 4 5/7 1 #4 | bridge=5/6 6 b3 3 1 4 1 b7 2 3 4 3 2 3 7 1 5/3 4/2 5/3 6m/4 5 6 b3 3 1 4 1 b7 2 3 4 3 2 3 7 1 5/3 4/2 5/3 6m/4 5,VaShawn Mitchell Chasing After You chords,,,,,
Byron Cage,The Presence of the Lord Is Here,3xbCCfFXSpbEIZ9b5Cp5IM,1bxsoj9E6Z2GoHVIswbRez,F#,gospel,sections_explicit,1,100,repeated_section_disagreement,"verse occurrences differ more than expected (verse_1 vs verse_5, similarity 0.07). || chorus occurrences differ more than expected (chorus_1 vs chorus_2, similarity 0.36). || bridge occurrences differ more than expected (bridge_1 vs bridge_3, similarity 0.00).",1,verse=5/7 1 5/2 4 1 5 5/7 1 5/2 4 7 3m 6 4 1 5 | chorus=6/b2 2 3/b6 6 2 6/b2 3 6 2 7 7/b3 3 2 6/b2 7 7/b3 3 6/b2 2 b2m b2/4 #4m 5 6/3 6/3 6 | bridge=6 3/b6 7 6 7 6 3/b6 7 6 7,Byron Cage The Presence of the Lord Is Here chords,,,,,
Carroll Roberson,Put Your Hand in the Hand,75ELMIfULuiX3KYWVhfMnx,5CWsZKgxzJ2AqxtpmHWNFK,C,gospel,sections_explicit,1,100,repeated_section_disagreement,"chorus occurrences differ more than expected (chorus_1 vs chorus_3, similarity 0.00). || verse occurrences differ more than expected (verse_1 vs verse_2, similarity 0.00).",1,verse=#4 b2 b6m b2 #4 b2 #4 7 b6m #4 b6m #4 | chorus=3m 6m 2 5 1 5 3m 1 2 5,Carroll Roberson Put Your Hand in the Hand chords,,,,,
Chris Tomlin,"Goodness, Love And Mercy",7GKRdRDyYBCK5Y4WMuLtPn,6pRi6EIPXz4QJEOEsBaA0m,C,rock,sections_explicit,1,100,repeated_section_disagreement,"verse occurrences differ more than expected (verse_1 vs verse_2, similarity 0.25). || chorus occurrences differ more than expected (chorus_1 vs chorus_2, similarity 0.17).",1,verse=4 b7/4 1/4 4 b7/4 1/4 4 1/3 2m b7 4 1/3 2m b7 b2 4 | chorus=b7 4/6 b7 1 4 b7 4/6 b7 1 4 b7 4/6 b7 2m 1 b7 4/6 b7 | bridge=5 1 5/2 2 7 3m 6m 3m 2 5 1 5/2 2 7 3m 6m 5/2 2 5 1 5/2 2 7 3m 6m 3m 2 5 1 5/2 2 7 3m 6m 5/2 2,"Chris Tomlin Goodness, Love And Mercy chords",,,,,
Donnie McClurkin,Victory Chant (Hail Jesus),0HIYttsxXEKn96x2cAN6kl,74IEeKcuS34kF2TjOigXra,F,gospel,sections_explicit,1,100,repeated_section_disagreement,"verse occurrences differ more than expected (verse_1 vs verse_2, similarity 0.00). || chorus occurrences differ more than expected (chorus_1 vs chorus_2, similarity 0.00).",1,verse=5 1 5 1 5 1 5 1 5 1 5 1 5 1 5 1 5 1 5 1 5 1 5 1 5 1 5 1 5 1 5 1 5 | chorus=6 2 6 2 6 2 6 2 6 2 6 2 6 2 6 2 6,Donnie McClurkin Victory Chant (Hail Jesus) chords,,,,,
Ernie Haase & Signature Sound,Give Them All to Jesus (with The Booth Brothers) (with The Booth Brothers),6sr92GBgOsnWRjoZhEmX20,3Qp9Qtdb5G8QYHWfe5qxi0,Eb,gospel,sections_explicit,1,100,repeated_section_disagreement,"verse occurrences differ more than expected (verse_1 vs verse_2, similarity 0.11). || chorus occurrences differ more than expected (chorus_1 vs chorus_3, similarity 0.00).",1,verse=3m 6 2 6 2 3m 6 2 6 | chorus=3 b6m 6 7 #4m 7 3 6 3 b6m 6 7 #4m 7 3 1,Ernie Haase & Signature Sound Give Them All to Jesus (with The Booth Brothers) (with The Booth Brothers) chords,,,,,
Ernie Haase & Signature Sound,Redemption Draweth Nigh,6apLL5Ndc5KYY57PL0A4aL,3Qp9Qtdb5G8QYHWfe5qxi0,F,gospel,sections_explicit,1,100,repeated_section_disagreement,"verse occurrences differ more than expected (verse_1 vs verse_2, similarity 0.00). || chorus occurrences differ more than expected (chorus_1 vs chorus_2, similarity 0.17).",1,verse=1 5 1 5 1 6m 5 4 5 2m 5 1 4 5 1 5 6m 4 5 1 | chorus=3 #4 7 b3 b6m #4 3 7 #4 7 3 b3 b6m 3 #4 7 b6m 5,Ernie Haase & Signature Sound Redemption Draweth Nigh chords,,,,,
Ernie Haase & Signature Sound,Step Into The Water,4lMOGy5UhOZC4teCDSq7F7,3Qp9Qtdb5G8QYHWfe5qxi0,C,gospel,sections_explicit,1,100,repeated_section_disagreement,"chorus occurrences differ more than expected (chorus_1 vs chorus_4, similarity 0.00). || verse occurrences differ more than expected (verse_1 vs verse_2, similarity 0.29).",1,verse=6 3 2 6 4m 7 3 6 | chorus=7 4 7 4 7 4 3 4 7,Ernie Haase & Signature Sound Step Into The Water chords,,,,,
Guy Penrod,Does Jesus Care?,4YTJInDgfvv8qCbqtaNkfu,29PfPMTOAqc611mj1siNoH,E,gospel,sections_explicit,1,100,repeated_section_disagreement,"verse occurrences differ more than expected (verse_1 vs verse_3, similarity 0.00). || chorus occurrences differ more than expected (chorus_1 vs chorus_3, similarity 0.00).",1,verse=4 b7 4 1 4 1 4 5m 7m 1 4 | chorus=1 4 1 5 1 1 4 4 b7 7m 4 1 4 1,Guy Penrod Does Jesus Care? chords,,,,,
Helen Baylor,"Lord, You're Holy",676VBPem7gL6soYEKd1YcP,4p4141HhLjwFCpNwKHFnxf,Ab,gospel,sections_explicit,1,100,repeated_section_disagreement,"chorus occurrences differ more than expected (chorus_1 vs chorus_3, similarity 0.00). || bridge occurrences differ more than expected (bridge_1 vs bridge_3, similarity 0.25).",2,verse=1 6m 7 7m 7 3m 1 6m 7 7m | chorus=3m 1 5 7 7m 3m 1 5 7 3m | bridge=3m 1 6m 7 7m 3m 1 6m 7 7m,"Helen Baylor Lord, You're Holy chords",,,,,
Israel & New Breed,Prayers of the Righteous,42lZrfaIWU8Avp09iyFSM4,77HU1Zb1VDIFvWKteJii0E,Bb,gospel,sections_explicit,1,100,repeated_section_disagreement,"verse occurrences differ more than expected (verse_1 vs verse_2, similarity 0.58). || chorus occurrences differ more than expected (chorus_1 vs chorus_2, similarity 0.18).",1,verse=4 4 b7 1 2m 4/6 b7 b7/2 1/3 4 4/6 b7 4/6 b7m b7/1 | chorus=1 b7m 4/6 2m 5m 6 2m 2m 4/1 2m/1 5/7 b7m 4/5 5m 5m/4 6 2m 5/7 b2 | bridge=3m 3m/2 1 7m 6m 7m 3m 3m 3m/2 1 7m 6m 7m 3m 3m 3m/2 1 7m 6m 7m 3m 3m 2m 1 7m 6m 7m 3m 3m 3m/2 1 7m 6m 7m 3m 3m 2m 1 7m 6m 7m 3m 3m 3m/2 1 7m,Israel & New Breed Prayers of the Righteous chords,,,,,
