artist_name,spotify_artist_id,sample_genre,christian_signal,suggested_bucket,manual_bucket,notes,song_count,lastfm_top_tags,lastfm_christian_signal,lastfm_suggested_bucket,lastfm_lookup_status,refined_bucket,refined_confidence,refined_reason
Terrenoire,6AiHXHMryCtGFBEnjB17aA,pop,,review,,,1,french | indietronica | france | indie pop | 2018 | francophone,,,ok,,,
Seventh Day Slumber,6kFLnclYFc3gzpNt13wim5,rock,,christian,,,15,christian rock | alternative rock | christian | rock | alternative | hard rock | post-grunge | contemporary christian,christian rock,christian,ok,christian,high,christian rock | contemporary christian
Jaya The Cat,3gRJFoOKgAkHI7EZTWKXRy,,,review,,,14,reggae | ska | ska punk | punk | rock | punk rock | reggae punk | american,,,ok,,,
Emma Peters,6lY6kOVMG0mR07JTzU33o5,pop,,review,,,4,french | female vocalists | francophone | indie | pop | canada | indie pop | french pop,,,ok,,,
The Lawrence Arms,0aQ8Ow9YAkGxr5bbehjkcS,punk,,review,,,61,punk rock | punk | pop punk | chicago | orgcore | rock | melodic punk | american,,,ok,,,
Sandy Denny,1kYd37riIExqdm9g0juqGJ,country,,review,,,1,folk | singer-songwriter | female vocalists | british folk | folk rock | british | 70s | 60s,,,ok,,,
Isles & Glaciers,6dHr8Y0nPrnHiBOuJzuu8F,,,review,,,4,post-hardcore | experimental | alternative | Supergroup | craig owens | alternative rock | emocore | rock,,,ok,,,
Jared Anthony,5jojdq6ltCT6cbv6WpKikI,rap,,review,,,1,Hip-Hop | emo rap | rap | Canadian | Melodic Rap | rapcore,,,ok,,,
Rigoberta Bandini,7DOERbtkx9aTLvWzZSB0qx,pop,,review,,,3,pop | electronic | spain | spanish | dance | indie pop | female vocalists | spanish pop,,,ok,,,
Nucleya,2CkrXQPoBz8jTQ3u0ZeLPh,rap,,review,,,2,glitch hop | electronic | Indian | Indian Fusion | Drum and bass | electronica | experimental | glitch,,,ok,,,
Jonah33,0Chu9tSPIjW9bGr5OLlvy0,rock,,christian,,,3,christian rock | alternative rock | christian | rock | modern rock | post-grunge | hard rock | alternative,christian rock,christian,ok,christian,high,christian rock
Light The Torch,6RIRplpyp79REfeBrvW8rH,metal,,review,,,1,metalcore | alternative metal | metal | melodic metalcore | american | bulgarian | industrial metal | hard rock,,,ok,,,
"John Gallagher, Jr.",5zjfQChzjrOvA9bCDiH1m5,,,review,,,2,american | musical | spring awakening | Broadway,,,ok,,,
Konsumo Respeto,1RmcjyvKHwr9TCZqfHMflP,punk,,review,,,4,punk rock | punk | spanish | folk punk | rock | rock punk | Spanish Rock | liszaj radio,,,ok,,,
Get Scared,5r9uIJCoquVtEkCkvcn8Ez,metal,,review,,,10,post-hardcore | alternative rock | rock | Horrorcore | alternative | emo | screamo | american,,,ok,,,
SPEECHLESS,0RUwm9ukhlW1oXDzXxj3C0,rap,,review,,,2,Lo-Fi | metal | jazz | psychedelic | Progressive rock | funk | electronic | lo-fi hip hop,,,ok,,,
The People's Thieves,1tTuZa1MH1Q3RcSftJuTa3,,,review,,,3,rock | alternative | indie | electronic | Pop-Rock | utah | my top songs,,,ok,,,
The Porkers,4vBYqviD5QVXMsNO4Y2EdL,punk,,review,,,1,ska | ska punk | australian | punk rock | punk | ska-punk | ska revival | spotify,,,ok,,,
Orchestra Baobab,7xT0arvCDupDU1YYy0BNv9,pop,,review,,,1,african | senegal | world | World Music | africa | jazz | afrobeat | senegalese,,,ok,,,
End Of Green,2sVaW0noYw5antHR3te8lQ,rock,,review,,,5,Gothic Metal | Gothic Rock | depressed subcore | german | metal | germany | doom metal | melancholic,,,ok,,,
VersaEmerge,429v4ypVJLyIyC4hKea0KN,pop,,review,,,15,rock | post-hardcore | female vocalists | alternative rock | experimental | alternative | female vocals | pop punk,,,ok,,,
Bobby Freeman,5oMWW19j0AXl7Sy4Xn9rmg,jazz,,review,,,5,soul | 60s | oldies | pop | northern soul | Rock and Roll | rhythm and blues | Rock 'n' Roll,,,ok,,,
Reijo Taipale,5I17kq37gUaHG6YeREMV0s,pop,,review,,,4,tango | finnish | iskelma | finland | All | Suomi | Schlager | iskelmä,,,ok,,,
Pierre Rapsat,3Jsgw675Kwq2u5MxmBmW7g,pop,,review,,,5,Belgium | chanson francaise | rock | belgian | All | french | singer-songwriter | chanson,,,ok,,,
Shin Sakiura,43NKdJzrtzg9rAzmbIUdW8,soul,,review,,,1,japanese | funk | House | j-pop | synthpop | electronic | JPop | composer,,,ok,,,
Timeshares,7nCENPbN4AqrvGncRBgJw1,,,review,,,1,punk rock | punk | pop punk | orgcore | Pop-punk | american | melodic punk | rock,,,ok,,,
De Vet Du,7iW0o1suit8xY24m9M5L0u,pop,,review,,,2,swedish | Sweden | dance | pop | melodifestivalen | Eurovision | male vocalists | eurovision song contest 2017,,,ok,,,
Roxette,2SHhfs4BiDxGQ3oxqf0UHY,pop,,review,,,12,pop | 80s | rock | swedish | female vocalists | pop rock | 90s | Roxette,,,ok,,,
LIL DUSTY G,3kBOtwy37e9fzJ3LFSnpbQ,rap,,review,,,9,cloud rap | emo rap | indie | rap | hip hop | Hip-Hop | electronic,,,ok,,,
Cheap Time,5ngGcwvis1MtTMT00zzoiF,pop,,review,,,1,Garage Rock | punk | Lo-Fi | Garage Punk | punk rock | power pop | garage | Nashville,,,ok,,,
Charlie Burg,0ubGY2CcC0tvR0eE6hJaT8,alternative,,review,,,2,soul | singer-songwriter | rnb | indie | USA,,,ok,,,
Seo In Guk,433F0GjVZRnsjP8ztGEso1,pop,,review,,,1,k-pop | Korean | male vocalists | pop | Kpop | soul | Ballad | malevocal,,,ok,,,
Twin Bandit,0PFFKJfJZU5TbgQXIw8cBr,country,,review,,,1,folk | Canadian | singer-songwriter | indie | female vocalists | duo,,,ok,,,
Pusha T,0ONHkAv9pCAFxb0zJwDNTy,rap,,review,,,2,Hip-Hop | rap | hip hop | East Coast | Gangsta Rap | clipse | american | east coast rap,,,ok,,,
KSW,2GhRzK7XzixKuZYEEfUkBR,,,review,,,1,mma | polish | Konfrontacja Sztuk Walki | Lo-Fi,,,ok,,,
Bobby Horton,4HCNUxTkoUzQPbq0XZoArj,country,,review,,,1,country | folk | Educational | All | civil war | historical | military | americana,,,ok,,,
The Exciters,2GF1B0GIaFrLFLdfH6ufRO,soul,,review,,,2,soul | 60s | pop | northern soul | female vocalists | american | oldies | All,,,ok,,,
Käptn Peng,4uJ0Z35toYgdlrDGF4eFY2,alternative,,review,,,1,german | rap | hip hop | Hip-Hop | awesome lyrics | deutscher hiphop | 6 stars | spotify,,,ok,,,
JOY.,2sphpXGg1u97VSzbm5gR2P,pop,,review,,,1,pop | electronic | rnb | indie | female vocalists | australia | indie pop | cute,,,ok,,,
Jerry Garcia Band,1YTe4dNIoWX3iHX8H4xVeM,rock,,review,,,1,rock | folk | Jam | classic rock | jerry garcia | jam band | folk rock | liszaj radio,,,ok,,,
The Asteroids Galaxy Tour,68g1s6VqLLLBI3tXR0Bb7C,,,review,,,2,indie | alternative | female vocalists | pop | soul | danish | indie pop | psychedelic pop,,,ok,,,
Kingsmen,1KqnnHm6UY5FW6UENrzSVX,rock,,review,,,4,Garage Rock | 60s | classic rock | rock | oldies | american | Rock and Roll | garage,,,ok,,,
Sheryfa Luna,5BPQfQJaq5Hx0636gwk4uA,pop,,review,,,1,french | rnb | female vocalists | france | pop | RnB Francais | sheryfa luna | french pop,,,ok,,,
Kleber Lucas,1giin6byO7ehdqZBBmbI1N,,,gospel,,,1,gospel | christian | religiosa | brazilian gospel | evangelica | pop | louvor | soul,gospel,gospel,ok,gospel,high,gospel | brazilian gospel
Junior Reid,0qPUDOVD0aYR2lmCilnscs,reggae,,review,,,1,reggae | dancehall | roots reggae | dub | Rasta | jamaica | ragga | jamaican,,,ok,,,
Beth Orton,6cLEWhEKQl6nAvgr60M7zC,country,,review,,,10,female vocalists | folk | singer-songwriter | indie | alternative | british | trip-hop | electronic,,,ok,,,
Fey,3uC20p2EoNm5LYtzSVWdkL,pop,,review,,,3,pop | latin | latin pop | female vocalists | spanish | mexico | mexican | dance,,,ok,,,
Corrinne May,76b92CaxVwSWrhAmVPUWUx,pop,,christian,,,3,female vocalists | piano | pop | singer-songwriter | indie | Asian | christian | singapore,christian,christian,ok,christian,medium,christian tag plus sample genre
Squash,1HXkVBU6RwIxxN6xuI6b00,rap,,review,,,2,Drum and bass | dancehall | hardcore | Grunge | electronic | Grime | brazil | funk_add_to_lidarr_batch_25,,,ok,,,
Ursus Factory,0Od2brltKfcyVsFOLmJqGA,alternative,,review,,,2,rock | alternative rock | finnish | blues | finland | experimental | blues rock | noise,,,ok,,,
Tom Misch,1uiEZYehlNivdK3iQyAbye,soul,,review,,,16,soul | Hip-Hop | jazz | indie | instrumental | chillout | british | chill,,,ok,,,
Youngblood Hawke,6VXZCpbkwm0W0aPjQR1t4K,alternative,,review,,,3,indie | indie pop | electronic | pop | alternative | indie rock | electropop | All,,,ok,,,
Strawberry Switchblade,4z5NjzIMyaQC4dPxxzxF6e,pop,,review,,,2,new wave | 80s | post-punk | pop | female vocalists | synthpop | Scottish | synth pop,,,ok,,,
Mazzy Star,37w38cCSGgKLdayTRjna4W,pop,,review,,,11,dream pop | shoegaze | female vocalists | indie | alternative | folk | american | alternative rock,,,ok,,,
Alex Warren,0fTSzq9jAh4c36UVb4V7CB,,,review,,,5,folk | pop | singer-songwriter | indie | indie folk | american | alternative | California,,,ok,,,
The Jezabels,76KHdORVQMt7L6nVzvOUph,alternative,,review,,,2,indie | australian | female vocalists | rock | indie rock | indie pop | Aussie | alternative,,,ok,,,
Hannah Montana,7nU4hB040gTmHm45YYMvqc,pop,,review,,,23,pop | Disney | female vocalists | hannah montana | guilty pleasure | Miley Cyrus | pop rock | Soundtrack,,,ok,,,
Tony Anderson,3aRscMJRah0QrvGE5rkvZl,,,review,,,1,ambient | cinematic | modern classical | electronic | composer | american | kentucky | investigate further,,,ok,,,
Anstandslos & Durchgeknallt,5R8zS6ofKclznKk3ffudoO,pop,,review,,,2,ccc_corrected | german | dj | deep house | sachsen | electro-house | elektro-house-deep-tribal-vocal | elektro-house-tribal-vocal,,,ok,,,
blessthefall,7t2C8WwLyKUKRe0LVh8zl9,metal,,christian,,,6,post-hardcore | screamo | metalcore | emocore | hardcore | emo | christian | post hardcore,christian,christian,ok,christian,medium,christian tag plus sample genre
Garasi,2gRPqdBXtPlMnD5yLzmq98,pop rock,,review,,,3,rock | indonesia | All | indie | female vocalists | indie rock | alternative rock | trancecore,,,ok,,,
Ana Guerra,3MRynBsyLGzv3IQ9Fip6hO,pop,,review,,,1,pop | spain | latin pop | spanish | OT | spanish female vocalists | Aguacate | OT2017,,,ok,,,
Orla Gartland,3ajf12ub55b51qcS94d9Co,pop,,review,,,5,indie | irish | singer-songwriter | indie pop | female vocalists | hobo | afraid of bears | acoustic,,,ok,,,
David Lindley,1l3MU8zV0Rf8qyB7dae38J,country,,review,,,1,blues | folk | guitar | rock | multi-instrumentalist | rockpalast | reggae | All,,,ok,,,
Snow Patrol,3rIZMv9rysU7JkLzEaC5Jp,pop rock,,review,,,12,indie | alternative | rock | indie rock | britpop | alternative rock | british | Scottish,,,ok,,,
Trent Harmon,1YSoHvvSAY0oOJW7VxJx3M,country,,review,,,2,American Idol | country | United States | funk_add_to_lidarr_batch_28,,,ok,,,
Bibio,0qzzGu8qpbXYpzgV52wOFT,country,,review,,,2,experimental | electronic | folktronica | ambient | folk | british | idm | Lo-Fi,,,ok,,,
Vanilla Gorilla,3e7MNPIHLpofcxyY0Jw90q,rock,,review,,,4,garage | Garage Rock | Surf | House | electro | australia | australian | surfe,,,ok,,,
Anuar Zain,4jseSNWUg2haVIdUZS8R1a,pop,,review,,,2,All | malaysia | pop | Asian | asian music | male vocalists | Asian Pop | malaysian,,,ok,,,
Better Than Ezra,4UuoJfJ9UybJft7a8E6UHX,pop rock,,review,,,1,alternative rock | alternative | rock | 90s | indie | post-grunge | american | better than ezra,,,ok,,,
Samuel Marklee,7uY0bC9vEhNAoAFVYevWiS,,,review,,,2,,,,error,,,
LCD Soundsystem,066X20Nz7iquqkkCW6Jxy6,alternative,,review,,,14,electronic | indie | dance | alternative | electronica | dance-punk | dance punk | american,,,ok,,,
Matt Mays,0VlFTYaJsPHdN3Vb3EvBsn,alternative,,review,,,8,Canadian | singer-songwriter | rock | Alt-country | Need to Rate | indie | folk | 0 play yet,,,ok,,,
Eelke Kleijn,1FY8kqUQKHwjibwLbp5cey,electronic,,review,,,1,Progressive House | electronic | House | tech house | Progressive | deep house | techno | electro,,,ok,,,
SPICA,5S3bx90A4ZX5RV02jRCOp9,pop,,review,,,1,k-pop | pop | Korean | Kpop | girl group | female vocalists | female vocals | Girl Groups,,,ok,,,
Son House,15oeqKO5k5uZ5773tWvpda,jazz,,review,,,2,blues | delta blues | country blues | Classic Blues | folk | american | acoustic blues | acoustic,,,ok,,,
Fallulah,4e2tVpGd0doErQ4dzVyxu6,pop,,review,,,1,indie pop | indie | danish | alternative | indietronica | female vocalists | pop | denmark,,,ok,,,
APRE,16oEz0ihXl8elwxOS0YMNF,alternative,,review,,,1,indie rock | alternative | rock | indie | english | indie pop | UK | dream pop,,,ok,,,
Sheila,5fhRcv2KU96vbXqNE2FEdu,pop,,review,,,1,french | female vocalists | chanson francaise | ye-ye | 60s | french 60s | pop | All,,,ok,,,
Forth Wanderers,5UjbehtgZGbNmmanbVW9Bs,alternative,,review,,,7,emo | indie | indie rock | rock | USA | midwest emo | jazz | country,,,ok,,,
Los Hitters,3Cqn20hCMJisWINCRSOkZT,rock,,review,,,3,rock | latin | spanish | Rock and Roll | All | mexico | male vocalists | rock coketo,,,ok,,,
MC Bruninho,3shPgAzHMyRwWOkXeoWKeB,pop,,review,,,1,brazil | brasil | Brega | brazilian | batidao romantico | batidao,,,ok,,,
Josh Kelley,1yLlQimDTRrACa45u50LXW,pop,,review,,,18,singer-songwriter | acoustic | rock | Acoustic Rock | pop | male vocalists | pop rock | country,,,ok,,,
Akcent,10wjV72OetIdsUQEcjSnOd,,,review,,,1,dance | pop | electronic | Romanian | eurodance | Disco | disco polo | Akcent,,,ok,,,
Aynsley Lister,7hueZY91Csxv57p4KnPVcU,jazz,,review,,,5,blues rock | blues | rock | guitar | british | gramusels bluesrock | Rating 8 stars - Very Good | 8 stars,,,ok,,,
Porter,7eBQrhxTHcor6gcbcLhqE5,alternative,,review,,,3,indie | experimental | mexico | alternative | rock | indie rock | space rock | mexican,,,ok,,,
Chris Andrian Yang,74DSMvAfXpnN3c1KCfvFwQ,,,review,,,3,indonesian | indonesia,,,ok,,,
Les Amis D'ta Femme,27zZxSk7AynBSC0XYiivLp,pop rock,,review,,,2,chanson francaise | rock | french | nouvelle scene francaise | ska | chanson | france | All,,,ok,,,
Ida Redig,2Q5xMO7xxS59W7ipdDQMQe,pop,,review,,,2,singer-songwriter | swedish | indie | acoustic | Sweden | nordic | pop | female vocalists,,,ok,,,
"Christone ""Kingfish"" Ingram",5jMGnqJkgPaiJzwy5bOcYX,jazz,,review,,,8,blues | blues rock | guitar | rock | guitar blues | USA | male vocalists | liszaj radio,,,ok,,,
Heaven Shall Burn,4sy5qWfwUwpGYBnCKnwfcW,metal,,review,,,1,metalcore | Melodic Death Metal | deathcore | death metal | hardcore | german | metal | German Metalcore,,,ok,,,
Atom And His Package,4I6LjrgKVERp2HF7y5LbkF,pop rock,,review,,,2,punk | electronic | indie | experimental | punk rock | rock | synth punk | synthpunk,,,ok,,,
Jape,0B8PsrzBwDT5sBAJq60HZg,rock,,review,,,1,irish | indie | alternative | dance rock | ireland | electronic | All | dublin,,,ok,,,
Todrick Hall,0gBvuNzrFCOVaiyKexoYMH,,,review,,,4,American Idol | pop | soul | rap | gay pride | Hip-Hop | queer | r&b,,,ok,,,
Amp Fiddler,39g75EmRFeFbvHhsGjUpLU,jazz,,review,,,1,soul | funk | acid jazz | jazz | chillout | Neo-Soul | Neo Soul | rnb,,,ok,,,
The Cribs,51Eq6WMVEOjjx9KQMAnneG,pop rock,,review,,,6,indie rock | indie | british | alternative | rock | alternative rock | britpop | Garage Rock,,,ok,,,
LEISURE,7b04D0yLktCUpvxQBhmG7R,alternative,,review,,,5,indie | indie pop | electronic | downtempo | New Zealand | french | chillout | pop,,,ok,,,
Thousand Foot Krutch,6GfiCQDFYANz5wUkSmb3Dr,metal,,christian,,,40,alternative rock | christian rock | rock | alternative | christian | Nu Metal | hard rock | rapcore,christian rock,christian,ok,christian,high,christian rock
Motörhead,1DFr97A9HnbV3SKTJFu62M,metal,,review,,,6,heavy metal | hard rock | speed metal | metal | rock | british | rock n roll | NWOBHM,,,ok,,,
Chad Hates George,6nZs04GLkNYMWY2WMHfEpz,punk,,review,,,6,folk punk | americana | USA | american | anti folk,,,ok,,,
CHVRCHES,3CjlHNtplJyTf9npxaPl5w,pop,,review,,,33,synthpop | electronic | electropop | indie | female vocalists | Scottish | dreamwave | pop,,,ok,,,
Vivien Savage,4JB4YibTxVBeW30DtePCZT,pop,,review,,,1,french | artistes | under 2000 listeners | 80s synthetic french pop,,,ok,,,
Mason Jennings,6CQrZZn0g2ZNfIcXbi4pdo,,,review,,,11,folk | singer-songwriter | acoustic | indie | Minnesota | american | USA | mason jennings,,,ok,,,
Talat Mahmood,2fi9hpqNbi5neTbKSqG0vW,,,review,,,1,bollywood | Hindi | Ghazal | Indian | old hindi | vinyl | hmv saregama | indian light classics,,,ok,,,
Lorenzo,62zLrboqOTPyozwi721CVy,rap,,review,,,1,reggae | rap | Hip-Hop | french | Pop Urbaine | france | hip hop | deep house,,,ok,,,
Ali Sethi,3NegWDGp038A3FIi3gSYzl,pop,,review,,,1,folk | Punjabi | electroacoustic | punjab | pakistan | pakistani fusion,,,ok,,,
Vian Izak,46U5WmejGzsPqUiw3Uw0Xq,,,review,,,6,folk | indie | pop | alternative | south african,,,ok,,,
Austin George,5SVHLhz1Vv5m4xmkT4Pk6D,soul,,review,,,3,USA,,,ok,,,
Mandisa,0YPElKYjOD1sofFCtLdYj3,rock,,gospel,,,15,gospel | christian | female vocalists | American Idol | pop | soul | female vocalist | mandisa,gospel,gospel,ok,gospel,high,gospel
Kevin Denney,7IGC89BUqUzXHFocEqcoow,country,,review,,,2,country | modern country | new traditionalist country,,,ok,,,
Jacques Brel,4RN2vlFWepLa46qQIU2PHs,,,review,,,15,chanson | french | chanson francaise | belgian | singer-songwriter | Belgium | 60s | Chanson Française,,,ok,,,
Curren$y,6X8WdFjrNhXATMDSs26aCc,rap,,review,,,1,Hip-Hop | rap | Dirty South | hip hop | New Orleans | southern rap | Southern Hip Hop | louisiana,,,ok,,,
Alice Ripley,7KLUKenP88WNsnb7MKa70M,,,review,,,1,american | musical | Broadway | female vocalist | All | Musical theatre | female vocalists | spotify,,,ok,,,
Empathy Test,4WM2JNPCcZ7f6M72C0bTyM,pop,,review,,,4,synthpop | electronic | electropop | pop | synthwave | english | darkwave | indie pop,,,ok,,,
Airways,5fRpvt0RU5UL6YwQekpofE,rock,,review,,,3,my top songs | indie rock | alternative rock | rock | british | england | alternative |  Pop Rock,,,ok,,,
Raised Fist,7ik758oYwkKmQtbZtAdOOm,,,review,,,1,hardcore | hardcore punk | swedish | metalcore | punk | Sweden | punk rock | metal,,,ok,,,
Rozwell Kid,3g43Z25cVRJHFn8ph8cdO0,alternative,,review,,,2,alternative rock | power pop | indie rock | indie | alternative | rock | american | orgcore,,,ok,,,
Sarah Buxton,2xTlb6eueddQmWsxImpDbP,country,,review,,,1,country | female vocalists | Country Favorites | singer-songwriter | pop-country | USA | unique voice | check out,,,ok,,,
Tusse,1BwDWgdDJe3TJXLZkBkpsI,pop,,review,,,3,swedish | soul | eurovision 2021 | melodifestivalen 2021 | Eurovision | Eurovision Song Contest | pop | ESC 2021,,,ok,,,
Jont,27PAZpDiy0LBXUVkQ7D2UY,pop,,review,,,2,singer-songwriter | indie | male vocalists | Grey's Anatomy | pop | british | Jont | acoustic,,,ok,,,
Dead Poet Society,31M8EXHYtEqOqVb1X7JRVe,alternative,,review,,,2,rock | my top songs | alternative rock | rap | blues rock | american hip-hop | United States | real,,,ok,,,
Dillon Carmichael,3lvYE3o75PNjyvcKuBPXo6,country,,review,,,7,country | Traditional Country | outlaw | Real Country | modern outlaw,,,ok,,,
Joe Mullins & The Radio Ramblers,1nlVHZslyaaNB0p5SUJe17,,,christian,,,1,USA | bluegrass | christian,christian,christian,ok,christian,medium,christian tag in lastfm tags
AFK,3eIM4tCQTGJXb0RDPfF2wL,,,review,,,1,dubstep | electronic | Brostep | bass | rap | mistagged | All | Filthstep,,,ok,,,
Zack Tabudlo,67IN4cLJ7798gUapyZlmac,pop,,review,,,20,OPM | singer-songwriter | indie pop | rnb | alt-pop | Filipino | pop | male vocalists,,,ok,,,
Melt,0G7KI9I5BApiXc5Sqpyil9,soul,,review,,,5,industrial metal | industrial | indie rock | ebm | psytrance | indie pop | electronic | psychedelic,,,ok,,,
Suzanne Vega,3X0tJzVYoWlfjLYI0Ridsw,pop,,review,,,10,female vocalists | singer-songwriter | folk | pop | alternative | american | 80s | rock,,,ok,,,
Angels Of Light,45KTYxYRDjlP4cAd2imJif,rock,,review,,,3,folk | singer-songwriter | freak folk | folk noir | indie | folk rock | experimental | neofolk,,,ok,,,
Young & Sick,3pQXFWbvLit77NpvNmOo3k,pop,,review,,,1,electronic | indietronica | post-soul | los angeles | USA | soul | new york | California,,,ok,,,
Kuzu Mellow,30zfTLecaC1zCXFXGTYNWB,rap,,review,,,2,emo | USA | sadboy rap | lo-fi hip hop,,,ok,,,
Armani White,2qAwMsiIjTzlmfAkXKvhVA,rap,,review,,,1,rap | Hip-Hop | american | USA | nomusic | notalent | Philadelphia,,,ok,,,
Loote,00TKPo9MxwZ0j4ooveIxWZ,pop,,review,,,11,pop | electropop | electronic | american | female vocalists | teen pop | new york | male vocalists,,,ok,,,
Little Apple Band,3FCu4XKU7SMobrCqEnTRSJ,,,review,,,1,kid music,,,ok,,,
Sam Airey,1VTqcwo2gWop75nRqyCGJw,pop,,review,,,2,Leeds | folk | guitar | singer-songwriter | independent | british | diy | under 500 listeners,,,ok,,,
Ry Cooder,1CPwHx5lgVxv0rfcp7UXLx,jazz,,review,,,4,blues | folk | guitar | singer-songwriter | rock | slide guitar | blues rock | Soundtrack,,,ok,,,
Patrick Bruel,0vmrFTWCwK3gFGDzeUzeMg,pop,,review,,,4,french | chanson francaise | pop | singer-songwriter | francophone | chanson | france | male vocalists,,,ok,,,
Dalriada,4mIdyUBqjS36BQHYFBbGjm,metal,,review,,,1,folk metal | hungarian | hungarian folk metal | metal | hungarian metal | Female fronted metal | Power metal | folk,,,ok,,,
Josh Melton,5l5SDQs2xyEidWQOw3ro6T,pop,,review,,,2,,,,error,,,
Yuna,3kHVioJpVxlazAAKQ64pC1,pop,,review,,,1,malaysian | indie | female vocalists | folk | acoustic | pop | soul | indie pop,,,ok,,,
Mount Eerie,4Sw0SFu1fFdYXdAEVdrqnO,pop,,review,,,17,Lo-Fi | folk | experimental | indie | a campire and a tent and a flashlight and some matches and a tree and that river and my glasses and a spaceship and a really really big bear but the bear is really really far away | indie folk | singer-songwriter | drone,,,ok,,,
The 1975,3mIj9lX2MWuHmhNCA7LSCW,pop rock,,review,,,42,indie | indie rock | british | alternative | rock | alternative rock | indie pop | Manchester,,,ok,,,
Emma Oliver,7KUmMAnwfGBOs77ReTZJte,,,review,,,1,indie | indie pop | american | electro-pop,,,ok,,,
Elizabeth Cook,0dyEUZv8ftA0dzL5vb2Y9s,country,,review,,,1,country | blues | americana | folk | Alt-country | bluegrass | singer-songwriter | female vocalists,,,ok,,,
Winona Oak,3XC57xz74X3xUi1hv4mge1,pop,,review,,,15,pop | swedish | indie pop | electronic | Sweden | singer-songwriter | rnb | female vocalists,,,ok,,,
King King,4SXsNXgRundFdewI58vbZT,jazz,,review,,,1,blues rock | blues | rhythm and blues | soul | guitar | rock | Southern Rock | alternative rock,,,ok,,,
The Righteous Brothers,4b0WsB47XCa9F83BmwQ7WX,pop rock,,review,,,1,soul | oldies | 60s | pop | classic rock | Blue-Eyed Soul | male vocalists | american,,,ok,,,
Camélia Jordana,2XkCa3HcntokIgOP5N3QO7,country,,review,,,1,french | female vocalists | soul | pop | nouvelle star | indie | france | acustic,,,ok,,,
Collision of Innocence,35wkX6HAVNXCsDF79SnoGc,rock,,christian,,,1,christian metal | metal | alternative rock | christian rock | metal music | Christian metal music,christian rock,christian,ok,christian,high,christian metal | christian rock
Robert Jon & the Wreck,4FXvPjJz57tIo23OpzHlYC,rock,,review,,,13,Southern Rock | blues rock | USA | Southern Blues Rock | rock | United States | classic rock | JdJdJd seen live,,,ok,,,
The Flying Burrito Brothers,0rESpKEusFHxhW59MIf7eM,rock,,review,,,10,country | country rock | Alt-country | rock | americana | classic rock | 60s | american,,,ok,,,
Emmanuel Horvilleur,3Pc0Gebx1aAAJlZh3zysmI,alternative,,review,,,1,argentina | pop | indie pop | male vocalists | latin | Rock Argentino | 19 | experimental,,,ok,,,
