"track_name","picked_artist","method"
"Meredith Andrews - Open Up the Heavens - (with lyrics)","Meredith Andrews","left_matches_ref"
"Brooke Ligertwood (feat. Brandon Lake) - Honey In The Rock (with lyrics)(2022)","Honey In The Rock (with lyrics)(2022)","fallback_right_shorter"
"My Jesus - Anne Wilson (Lyrics Video)","My Jesus","fallback_left_shorter_or_equal"
"Holy Forever - Chris Tomlin - Lyric Video","Holy Forever","fallback_left_shorter_or_equal"
"Gratitude - Brandon Lake - Lyric Video","Gratitude","fallback_left_shorter_or_equal"
"Elevation Worship - Trust In God ft. Chris Brown (Lyrics)","Elevation Worship","left_matches_ref"
"Gateway Worship (feat. Claire Smith) - Who Else (with lyrics)(2023)","Who Else (with lyrics)(2023)","fallback_right_shorter"
"Build My Life - Lyric Video (Pat Barrett)","Build My Life","fallback_left_shorter_or_equal"
"Worthy Of It All (Lyrics) - David Brymer","David Brymer","right_matches_ref"
"GRAVES INTO GARDENS - ELEVATION WORSHIP LYRIC VIDEO","GRAVES INTO GARDENS","fallback_left_shorter_or_equal"
"How Great Is Our God - Lyric Video HD","Lyric Video HD","fallback_right_shorter"
"Lord I Need You - Matt Maher (Worship Song with Lyrics)","Lord I Need You","fallback_left_shorter_or_equal"
"Praise (Lyric Video) - Elevation Worship Feat. Brandon Lake, Chris Brown & Chandler Moore","Praise (Lyric Video)","fallback_left_shorter_or_equal"
"I Know A Name - Elevation Worship & Brandon Lake (Lyrics)","I Know A Name","fallback_left_shorter_or_equal"
"What A Beautiful Name (Lyric Video) - Hillsong Worship","Hillsong Worship","right_matches_ref"
"Phil Wickham - Living Hope (Lyrics)","Phil Wickham","fallback_left_shorter_or_equal"
"Leeland - Way Maker (Lyrics)","Leeland","left_matches_ref"
"O Come To The Altar - Elevation Worship","Elevation Worship","right_matches_ref"
"Amazing Grace (My Chains are Gone) - Chris Tomlin Worship Video w/lyrics","Amazing Grace (My Chains are Gone)","fallback_left_shorter_or_equal"
"Here Be Lions & Darlene Zschech - I Speak Jesus (lyrics)","I Speak Jesus (lyrics)","fallback_right_shorter"
"In Christ Alone - Adrienne Liesching and Geoff Moore (with lyrics)","In Christ Alone","fallback_left_shorter_or_equal"
"10,000 Reasons (Bless The Lord) - Lyric Video HD","Lyric Video HD","fallback_right_shorter"
"Aaron Williams (feat. Aaron Keyes) - Abide (with lyrics)(2022)","Abide (with lyrics)(2022)","fallback_right_shorter"
"I Thank God Lyrics - Maverick City & UPPERROOM","I Thank God Lyrics","fallback_left_shorter_or_equal"
"Holy Spirit - Francesca Battistelli (lyric video)","Holy Spirit","fallback_left_shorter_or_equal"
"Phil Wickham - House Of The Lord (with lyrics)(2021)","Phil Wickham","fallback_left_shorter_or_equal"
"Michael W. Smith - The Heart Of Worship [with lyrics]","Michael W. Smith","left_matches_ref"
"Meredith Andrews (feat. Sarah Reeves & Chris McClarney) - Make Room (with lyrics)(2022)","Make Room (with lyrics)(2022)","fallback_right_shorter"
"Charity Gayle - Thank You Jesus For The Blood (with lyrics)(2021)","Charity Gayle","fallback_left_shorter_or_equal"
"Elevation Rhythm - Washed (with lyrics)(2025)","Elevation Rhythm","fallback_left_shorter_or_equal"
"King of Kings (Lyric Video) - Hillsong Worship","Hillsong Worship","right_matches_ref"
"Ascend The Hill - How Great Thou Art","Ascend The Hill","left_matches_ref"
"Ascend The Hill - I Surrender All","Ascend The Hill","left_matches_ref"
"Matt Bayless - Be Still","Be Still","fallback_right_shorter"
"Matt Bayless - Come Down","Come Down","fallback_right_shorter"
"Enter the Worship Circle ? Aaron Strumpel ? Robin Pasley ? Tim and Laurie Thornton - Too Proud (Psalm 81) (Remastered)","Too Proud (Psalm 81) (Remastered)","fallback_right_shorter"
"Phil Wickham ? Peter Kipley - Desire (Live)","Desire (Live)","fallback_right_shorter"
"Rend Collective - The Cost","The Cost","fallback_right_shorter"
"Gungor - Beautiful Things","Gungor","left_matches_ref"
"Forerunner Music ? Will Reagan ? United Pursuit Band - Break Every Chain","Break Every Chain","fallback_right_shorter"
"Mac Powell ? Steven Curtis Chapman ? Brian Littrell ? Mark Hall - By His Wounds","By His Wounds","fallback_right_shorter"
"Britt Nicole - Have Your Way","Britt Nicole","left_matches_ref"
"Cory Asbury - Where I Belong","Cory Asbury","left_matches_ref"
"Cody Davenport - Set a Fire","Set a Fire","fallback_right_shorter"
"Gungor - Dry Bones","Gungor","left_matches_ref"
"MUTEMATH - You Are Mine","MUTEMATH","fallback_left_shorter_or_equal"
"Ascend The Hill - Hallelujah! What a Savior","Ascend The Hill","left_matches_ref"
"Generation Unleashed - Be Lifted High (Live)","Generation Unleashed","left_matches_ref"
"Hillsong Worship ? Joel Houston - Our God Is Love (Live)","Our God Is Love (Live)","fallback_right_shorter"
"Hillsong Worship - In Your Freedom (Live)","Hillsong Worship","left_matches_ref"
"Israel Houghton - Everywhere That I Go","Israel Houghton","fallback_left_shorter_or_equal"
"Elevation Worship - Give Me Faith","Elevation Worship","left_matches_ref"
"Israel Houghton & New Breed - Jesus At The Center [Live]","Jesus At The Center [Live]","fallback_right_shorter"
"Ricardo Sanchez - Moving Forward","Moving Forward","fallback_right_shorter"
"William Matthews - Deep Cries Out","Deep Cries Out","right_matches_ref"
"Israel & New Breed ? Jeremiah Woods - Rez Power (Live)","Rez Power (Live)","fallback_right_shorter"
"Planetshakers ? Israel Houghton - Nothing Is Impossible","Nothing Is Impossible","fallback_right_shorter"
"Israel Houghton - Moving Forward","Moving Forward","fallback_right_shorter"
"Israel & New Breed - We Have Overcome (Live)","Israel & New Breed","left_matches_ref"
"Sarah Emerson - What Joy (Psalm 146)","Sarah Emerson","fallback_left_shorter_or_equal"
"Israel Houghton - I Know Who I Am (Live)","Israel Houghton","fallback_left_shorter_or_equal"
"Hillsong Worship ? Jad Gillies - Forever Reign (Live)","Forever Reign (Live)","fallback_right_shorter"
"Planetshakers - The Anthem (Full Song)","Planetshakers","fallback_left_shorter_or_equal"
"Worship Central ? Ben Cantelon - Saviour of the World (Live)","Saviour of the World (Live)","fallback_right_shorter"
"Free Chapel - Echo (Live)","Free Chapel","left_matches_ref"
"Brian Johnson - Love Came Down (Live)","Brian Johnson","left_matches_ref"
"Free Chapel - I Call Your Name (Live)","Free Chapel","left_matches_ref"
"Hillsong Chapel ? Jad Gillies - The Lost Are Found","The Lost Are Found","fallback_right_shorter"
"Hillsong UNITED ? Matt Crocker - Heartbeats","Heartbeats","fallback_right_shorter"
"Hillsong UNITED ? Matt Crocker - Scandal of Grace","Scandal of Grace","fallback_right_shorter"
"Hillsong UNITED - A Million Suns","Hillsong UNITED","left_matches_ref"
"Free Chapel - I'm Not Ashamed (Live)","Free Chapel","left_matches_ref"
"Free Chapel - I Am Forgiven (Live)","Free Chapel","left_matches_ref"
"Hillsong Worship - You Deserve (Live)","Hillsong Worship","left_matches_ref"
"Hillsong UNITED - With Everything (Live)","Hillsong UNITED","left_matches_ref"
"Matt Redman - 10,000 Reasons (Bless The Lord) (Live)","Matt Redman","fallback_left_shorter_or_equal"
"Passion ? Kristian Stanfill - Always (Live)","Always (Live)","fallback_right_shorter"
"The Spark - Your Love Is Strong (Live)","The Spark","fallback_left_shorter_or_equal"
"Cory Asbury ? William Matthews ? Cory Asbury ? Dwayne Roberts ? Josh Motlong - So Good to Me","So Good to Me","fallback_right_shorter"
"The Michael Gungor Band - Prodigal","Prodigal","fallback_right_shorter"
"Fellowship Creative - The Everlasting","Fellowship Creative","left_matches_ref"
"Ricardo Sanchez - Shout Out","Shout Out","fallback_right_shorter"
"Will Reagan - God Alone (Psalm 62)","Will Reagan","fallback_left_shorter_or_equal"
"Montell Jordan ? Victory World Music - Hungry","Hungry","fallback_right_shorter"
"Montell Jordan ? Victory World Music - Usable","Usable","fallback_right_shorter"
"Free Chapel - For Who You Are (Live)","Free Chapel","left_matches_ref"
"Bethel Music & Jenn Johnson - I've Found A Love (Love Came Down)","Bethel Music & Jenn Johnson","fallback_left_shorter_or_equal"
"United Pursuit ? Brock Human - Come Away (feat. Brock Human)","United Pursuit ? Brock Human","fallback_left_shorter_or_equal"
"New Life Worship ? Integrity's Hosanna! Music - This I Know (Live)","This I Know (Live)","fallback_right_shorter"
"Jeremy Riddle - Rain Down (Live)","Jeremy Riddle","left_matches_ref"
"Hillsong UNITED - Search My Heart (Radio Version)","Hillsong UNITED","left_matches_ref"
"Passion ? Chris Tomlin ? Matt Redman - Set Free (Live)","Set Free (Live)","fallback_right_shorter"
"Eddie James - Free to Worship","Eddie James","left_matches_ref"
"Michael W. Smith - Above All","Michael W. Smith","left_matches_ref"
"Shaun Groves - After The Music Fades","Shaun Groves","fallback_left_shorter_or_equal"
"Third Day - Agnus Dei / Worthy (remastered)","Third Day","fallback_left_shorter_or_equal"
"Christ For The Nations Worship ? Klaus ? Kari Jobe - Alabaster Jar (Live)","Alabaster Jar (Live)","fallback_right_shorter"
"Hillsong UNITED - All Day (Live)","Hillsong UNITED","left_matches_ref"
"Hillsong UNITED - All I Need Is You (Live)","Hillsong UNITED","left_matches_ref"
"Lincoln Brewster - All the Earth Will Sing Your Praises","Lincoln Brewster","fallback_left_shorter_or_equal"
"Kutless - All Who Are Thirsty","Kutless","left_matches_ref"
"Desperation Band - Amazed (Live)","Desperation Band","left_matches_ref"
"Chris Tomlin - Amazing Grace (My Chains Are Gone)","Chris Tomlin","left_matches_ref"
"Jeremy Camp - Beautiful One","Jeremy Camp","left_matches_ref"
"Tree63 - Blessed Be Your Name","Tree63","fallback_left_shorter_or_equal"
"Jeff Deyo ? SonicFlood ? Unknown - Bless the Lord","Bless the Lord","fallback_right_shorter"
"Fearless BND - Risen From The Grave","Fearless BND","fallback_left_shorter_or_equal"
"Jared Anderson - Great I Am","Great I Am","fallback_right_shorter"
"Hillsong UNITED - Came to My Rescue (Live)","Hillsong UNITED","left_matches_ref"
"Misty Edwards - All-Consuming Fire","Misty Edwards","left_matches_ref"
"Tim Hughes - Consuming Fire (Live)","Tim Hughes","fallback_left_shorter_or_equal"
"Kutless - Draw Me Close","Kutless","left_matches_ref"
"Chris Tomlin - Enough","Chris Tomlin","left_matches_ref"
"Lincoln Brewster - Everlasting God","Everlasting God","fallback_right_shorter"
"Hillsong UNITED - Everyday (Live)","Hillsong UNITED","left_matches_ref"
"David Crowder Band - Every Move I Make","David Crowder Band","left_matches_ref"
"Lifehouse - Everything","Lifehouse","fallback_left_shorter_or_equal"
"Shane Everett - Exalt the Lord","Shane Everett","fallback_left_shorter_or_equal"
"Hillsong UNITED - Fire Fall Down (Live)","Hillsong UNITED","left_matches_ref"
"Hillsong Worship - For All You've Done (Live)","Hillsong Worship","left_matches_ref"
"Chris Tomlin - Forever","Chris Tomlin","left_matches_ref"
"Hillsong Worship ? Joel Houston - The Freedom We Know (Live)","The Freedom We Know (Live)","fallback_right_shorter"
"Michael Gungor - Friend Of God","Michael Gungor","left_matches_ref"
"Hillsong UNITED - From the Inside Out (Live)","Hillsong UNITED","left_matches_ref"
"Kutless - Give Us Clean Hands","Kutless","left_matches_ref"
"Christ For The Nations Worship ? Klaus - Glory Come Down (Live)","Glory Come Down (Live)","fallback_right_shorter"
"Hillsong UNITED - God Is Great (Live)","Hillsong UNITED","left_matches_ref"
"Kutless - God Of Wonders","Kutless","left_matches_ref"
"Delirious? - God's Romance","Delirious?","fallback_left_shorter_or_equal"
"Todd Agnew - Grace Like Rain","Todd Agnew","fallback_left_shorter_or_equal"
"Fee - Happy Day","Fee","left_matches_ref"
"Gaither Vocal Band - He Will Carry You (A Cappella)","Gaither Vocal Band","left_matches_ref"
"Kari Jobe - Healer","Kari Jobe","left_matches_ref"
"Matt Redman - The Heart Of Worship","Matt Redman","fallback_left_shorter_or_equal"
"Jeremy Camp - Here I Am To Worship","Jeremy Camp","left_matches_ref"
"David Crowder Band - Here Is Our King","David Crowder Band","left_matches_ref"
"Chris Tomlin - Holy Is The Lord (Arriving Album Version)","Chris Tomlin","left_matches_ref"
"Hillsong UNITED ? Brooke Ligertwood - Hosanna","Hosanna","right_matches_ref"
"Paul Baloche - Hosanna","Hosanna","right_matches_ref"
"Seventh Day Slumber - How Great Is Our God","Seventh Day Slumber","fallback_left_shorter_or_equal"
"Me In Motion - You Move Me","You Move Me","fallback_right_shorter"
"Flyleaf - How He Loves","Flyleaf","left_matches_ref"
"Kutless - Hungry","Kutless","left_matches_ref"
"Seventh Day Slumber - I Can Only Imagine","I Can Only Imagine","fallback_right_shorter"
"Enter The Worship Circle ? 100 Portraits ? Waterdeep ? Don Chaffer ? Lori Chaffer - I Could Run Away [Remastered 2017]","I Could Run Away [Remastered 2017]","fallback_right_shorter"
"William McDowell - I Give Myself Away (Live)","William McDowell","fallback_left_shorter_or_equal"
"Chris Tomlin - I Lift My Hands","Chris Tomlin","left_matches_ref"
"Chris Tomlin - Indescribable","Chris Tomlin","left_matches_ref"
"Skillet - Rest","Rest","fallback_right_shorter"
"Newsboys - It Is You","Newsboys","fallback_left_shorter_or_equal"
"Visionary - I Walk By Faith","Visionary","fallback_left_shorter_or_equal"
"Skillet - Jesus Be Glorified (Live)","Skillet","fallback_left_shorter_or_equal"
"Jeff Deyo ? Unknown - Jesus, I Surrender (Live)","Jeff Deyo ? Unknown","fallback_left_shorter_or_equal"
"Hillsong UNITED - King of Majesty (Live)","Hillsong UNITED","left_matches_ref"
"Hillsong UNITED ? Brooke Ligertwood - Lead Me to the Cross","Lead Me to the Cross","fallback_right_shorter"
"Pocket Full Of Rocks - Let It Rain","Let It Rain","fallback_right_shorter"
"Pocket Full Of Rocks - Song to the King (AC Mix)","Pocket Full Of Rocks","fallback_left_shorter_or_equal"
"Pocket Full Of Rocks - The Welcome Song","The Welcome Song","fallback_right_shorter"
"Pocket Full Of Rocks - Let the Worshippers Arise","Pocket Full Of Rocks","fallback_left_shorter_or_equal"
"Matt Redman - Lord, Let Your Glory Fall","Matt Redman","fallback_left_shorter_or_equal"
"Rita Springer - Worth It All","Worth It All","fallback_right_shorter"
"Brian Doerksen - Light The Fire Again","Brian Doerksen","left_matches_ref"
"Christ For The Nations Worship ? Rick Pino - Love Song (Live)","Love Song (Live)","fallback_right_shorter"
"Chris Tomlin - Made To Worship","Chris Tomlin","left_matches_ref"
"one sonic society - Majesty","Majesty","fallback_right_shorter"
"one sonic society - Jesus, Son of God (Live)","one sonic society","fallback_left_shorter_or_equal"
"Michael Gungor - Meet With Me","Michael Gungor","left_matches_ref"
"Charlie Hall - Marvelous Light","Charlie Hall","left_matches_ref"
"Hillsong UNITED - More than Life (Live)","Hillsong UNITED","left_matches_ref"
"Vineyard Worship - Surrender","Surrender","fallback_right_shorter"
"Hillsong UNITED - My Future Decided","Hillsong UNITED","left_matches_ref"
"Fearless BND - My Glorious","My Glorious","fallback_right_shorter"
"Rick Pino ? Kari Jobe - My Romance (Live)","My Romance (Live)","fallback_right_shorter"
"Aaron Shust - My Savior My God","Aaron Shust","left_matches_ref"
"Passion ? Chris Tomlin - The Noise We Make (Live)","Passion ? Chris Tomlin","fallback_left_shorter_or_equal"
"Hillsong UNITED ? Brooke Ligertwood - None but Jesus (Live)","None but Jesus (Live)","fallback_right_shorter"
"David Crowder Band - No One Like You","David Crowder Band","left_matches_ref"
"Christ For The Nations Worship ? Kari Jobe - No Sweeter Name (Live)","No Sweeter Name (Live)","fallback_right_shorter"
"Shane Barnard ? Bob Fitts ? Shane Barnard - Oh Lord to You (Live)","Oh Lord to You (Live)","fallback_right_shorter"
"Brian Johnson ? Christa Black Gifford ? Jeremy Riddle - One Thing Remains","One Thing Remains","fallback_right_shorter"
"Hillsong UNITED - One Way (Live)","Hillsong UNITED","left_matches_ref"
"David Crowder Band - Only You","David Crowder Band","left_matches_ref"
"Passion ? Chris Tomlin - Our God (Live)","Our God (Live)","fallback_right_shorter"
"Seventh Day Slumber ? Reuben Morgan ? Ben Fielding - God Is Able","God Is Able","fallback_right_shorter"
"Seventh Day Slumber ? Joel Houston - Your Name High","Your Name High","fallback_right_shorter"
"Jeremy Camp - You Never Let Go","Jeremy Camp","left_matches_ref"
"Roy Fields - Rain Down (Live)","Roy Fields","fallback_left_shorter_or_equal"
"Desperation Band - Refuse to Be Denied","Desperation Band","left_matches_ref"
"Michael Gungor - Rescue","Michael Gungor","left_matches_ref"
"Kari Jobe - Revelation Song","Kari Jobe","left_matches_ref"
"Enter The Worship Circle ? 100 Portraits ? Waterdeep ? Robin Pasley ? Ben Pasley - Save Me (Psalm 69) (Remastered 2017)","Save Me (Psalm 69) (Remastered 2017)","fallback_right_shorter"
"Phil Wickham - Shining","Shining","fallback_right_shorter"
"Tim Hughes ? Soul Survivor - See His Love (feat. Tim Hughes) (Live)","Tim Hughes ? Soul Survivor","fallback_left_shorter_or_equal"
"Hillsong UNITED - Shout Unto God (Live)","Hillsong UNITED","left_matches_ref"
"Hillsong UNITED - Solution","Hillsong UNITED","left_matches_ref"
"Hillsong UNITED - The Stand (Live)","Hillsong UNITED","left_matches_ref"
"Hillsong UNITED - Take It All (Live)","Hillsong UNITED","left_matches_ref"
"Hillsong UNITED - Till I See You (Live)","Hillsong UNITED","left_matches_ref"
"Hillsong UNITED ? Reuben Morgan - To the Ends of the Earth (Live)","Hillsong UNITED ? Reuben Morgan","fallback_left_shorter_or_equal"
"John Connor - We Are Hungry","John Connor","fallback_left_shorter_or_equal"
"Hillsong UNITED - What The World Will Never Take (Live)","Hillsong UNITED","left_matches_ref"
"Skillet - Who is Like Our God (Live)","Skillet","fallback_left_shorter_or_equal"
"Justin Johnston - Whom Shall I Fear","Justin Johnston","fallback_left_shorter_or_equal"
"Jonah33 - Working Man Hands","Jonah33","fallback_left_shorter_or_equal"
"William McDowell - Closer/Wrap Me In Your Arms (Live)","William McDowell","fallback_left_shorter_or_equal"
"Michael Gungor - Wrap Me In Your Arms","Michael Gungor","left_matches_ref"
"Michael Gungor - You Are Good","Michael Gungor","left_matches_ref"
"Planetshakers - You Are Holy","You Are Holy","fallback_right_shorter"
"Skillet - You Are My Hope","Skillet","fallback_left_shorter_or_equal"
"The Almost - Your Love Is Extravagant","The Almost","fallback_left_shorter_or_equal"
"The Almost - Amazing, Because It Is","The Almost","fallback_left_shorter_or_equal"
"Christ For The Nations Worship ? Keith Hulen - I Love The Lord (Live)","I Love The Lord (Live)","fallback_right_shorter"
"Christ For The Nations Worship - Jesus Is Alive (Live)","Jesus Is Alive (Live)","fallback_right_shorter"
"Christ For The Nations Worship ? Jonathan Lewis - Glorify Our King (Live)","Glorify Our King (Live)","fallback_right_shorter"
"Christ For The Nations Worship ? Jessica Freeman - Blessed Is the One (Live)","Blessed Is the One (Live)","fallback_right_shorter"
"Third Day - Show Me Your Glory","Third Day","fallback_left_shorter_or_equal"
"Jeremy Camp - You're Worthy Of My Praise","Jeremy Camp","left_matches_ref"
"Hillsong Worship ? Joel Houston - You Are Here (The Same Power)","You Are Here (The Same Power)","fallback_right_shorter"
"Desperation Band - I'm Coming Your Way","Desperation Band","left_matches_ref"
"Casting Crowns - Your Love Is Extravagant","Casting Crowns","left_matches_ref"
"East Coast Christian Center - He Is Faithful (Live)","He Is Faithful (Live)","fallback_right_shorter"
"Jeremy Riddle - One Thirst and Hunger","Jeremy Riddle","left_matches_ref"
"Passion ? Kristian Stanfill - Jesus Paid It All","Jesus Paid It All","fallback_right_shorter"
"Passion ? Chris Tomlin ? Christy Nockels - Where The Spirit Of The Lord Is (Live)","Where The Spirit Of The Lord Is (Live)","fallback_right_shorter"
"Elevation Worship - All Things New","Elevation Worship","both_match_ref_left_default"
"All Sons & Daughters - All the Poor and Powerless","All Sons & Daughters","left_matches_ref"
"All Sons & Daughters - Oh How I Need You","All Sons & Daughters","left_matches_ref"
"All Sons & Daughters - Brokenness Aside","All Sons & Daughters","left_matches_ref"
"All Sons & Daughters - Called Me Higher","All Sons & Daughters","left_matches_ref"
"Jason Morant - Bless The Lord","Jason Morant","left_matches_ref"
"Fearless BND - Risen From The Grave","Fearless BND","fallback_left_shorter_or_equal"
"Fee - We Crown You","Fee","left_matches_ref"
"Awaken Worship - Overwhelmed (Live)","Awaken Worship","fallback_left_shorter_or_equal"
"BJ Putnam - Glorious (Live)","BJ Putnam","fallback_left_shorter_or_equal"
"Israel & New Breed - Again I Say Rejoice","Israel & New Breed","left_matches_ref"
"Oceans Above - Rain Down","Rain Down","fallback_right_shorter"
"Citizens ? Chris Tomlin ? Louie Giglio ? Zach Bolen - Amazing Grace","Amazing Grace","fallback_right_shorter"
"Hillsong Worship ? Matt Crocker - I Surrender (Live)","I Surrender (Live)","fallback_right_shorter"
"Freddy Rodriguez ? Integrity's Hosanna! Music - I Will Run (Live)","I Will Run (Live)","fallback_right_shorter"
"Freddy Rodriguez ? Integrity's Hosanna! Music - No Other Name (Live)","No Other Name (Live)","fallback_right_shorter"
"Citizens ? Brian Eichelberger ? Zach Bolen - Made Alive","Made Alive","fallback_right_shorter"
"Israel & New Breed - To Worship You I Live","Israel & New Breed","left_matches_ref"
"Jared Anderson - Hear Us from Heaven","Jared Anderson","fallback_left_shorter_or_equal"
"Bethel Music ? Steffany Frizzell Gretzinger - Closer","Closer","fallback_right_shorter"
"Bethel Music ? Jeremy Riddle ? Seffany Frizzell Gretzinger - One Thirst","One Thirst","fallback_right_shorter"
"Israel & New Breed - Say So (Live)","Israel & New Breed","left_matches_ref"
"United Pursuit ? Will Reagan - Fill Me Up (feat. Will Reagan)","United Pursuit ? Will Reagan","fallback_left_shorter_or_equal"
"Bethel Music & Brian Johnson - My Soul Sings","My Soul Sings","fallback_right_shorter"
"Rush Worship - You Won't Relent/All Consuming Fire","Rush Worship","fallback_left_shorter_or_equal"
"Misty Edwards - Baptize My Heart (Live)","Misty Edwards","left_matches_ref"
"Misty Edwards - Pour My Love on You (Live)","Misty Edwards","left_matches_ref"
